"artist","song_name","song_id","streams","date"
"Luis Fonsi, Demi Lovato","Échame La Culpa","1zsG4eaZmkA1dvjDDsAGLK",188923,"2018-01-07"
"Maluma, Nego do Borel","Corazón","4lESS6vuruP6a79KWRaQou",185334,"2018-01-07"
"Piso 21","Déjala Que Vuelva (feat. Manuel Turizo)","33bnxcjePIkcmNjEFTJX0l",160919,"2018-01-07"
"Natti Natasha, Ozuna","Criminal","6Za3190Sbw39BBC77WSS1C",157575,"2018-01-07"
"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian","Sensualidad","5hcisvFMidkMJlElTO9Qmw",149538,"2018-01-07"
"Wolfine","Bella","4R55IUi2x7S5ek2SpebOiE",139030,"2018-01-07"
"Ozuna","Se Preparó","1m69ELEgE6k5ZWsap40ozt",133580,"2018-01-07"
"MC Kevinho","Olha a Explosão","6m2LNopVJKsvBB9l7Z1rwn",122972,"2018-01-07"
"Becky G, Bad Bunny","Mayores","7JNh1cfm0eXjqFVOzKLyau",120808,"2018-01-07"
"Alex Sensation, Ozuna","Que Va","7ofxPmTNMj2GP07g1VZa0O",120485,"2018-01-07"
"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian","Báilame - Remix","3VClLWqNn80Llv0PJOsKgr",118334,"2018-01-07"
"Joey Montana, Sebastian Yatra","Suena El Dembow","5TysCiZtv1HnSWcTcUFusI",116734,"2018-01-07"
"Danny Ocean","Me Rehúso","6De0lHrwBfPfrhorm9q1Xl",106428,"2018-01-07"
"Romeo Santos, Daddy Yankee, Nicky Jam","Bella y Sensual","0ERbK7qVqveCaBWIiYCrl3",106124,"2018-01-07"
"Shakira","Perro Fiel (feat. Nicky Jam)","70lnL3QaSOIIyMa2X9aVRL",103595,"2018-01-07"
"Anitta, J Balvin","Downtown","3Ga6eKrUFf12ouh9Yw3v2D",99562,"2018-01-07"
"Jesse & Joy, Gente De Zona","3 A.M.","0yyZN5ASdrYu0XYWFzfxUu",94590,"2018-01-07"
"Wisin","Escápate Conmigo (feat. Ozuna)","1KSqYYJFyfTecXFk9M0prc",93807,"2018-01-07"
"Ozuna","Síguelo Bailando","5Y9fnynLlIvqtM710MHzfz",84681,"2018-01-07"
"Daddy Yankee, Bad Bunny","Vuelve","0lJCqIx5BhZtf6QtYI2fbv",82456,"2018-01-07"
"Carlos Vives, Sebastian Yatra","Robarte un Beso","0JcNysfWVWaMS7R6vzGB2k",79476,"2018-01-07"
"J Balvin, Willy William","Mi Gente","2rb5MvYT7ZIxbKW5hfcHx8",76921,"2018-01-07"
"Sebastian Yatra, Dalmata","SUTRA","5TmZYdHW6HJ9gt7Aokuql5",76654,"2018-01-07"
"Ozuna, J Balvin","Quiero Repetir","0MIcPSq9n2z5H8TAfEstri",74640,"2018-01-07"
"Yandel","Explícale (feat. Bad Bunny)","1LszjjoVwDDZcWUQbzeDLG",72724,"2018-01-07"
"Yandel","Como Antes (feat. Wisin)","5YzA563GXTuwQaRq24z1k5",72473,"2018-01-07"
"Manuel Turizo","Una Lady Como Tú","7MHN1aCFtLXjownGhvEQlF",71269,"2018-01-07"
"Camila Cabello, Daddy Yankee","Havana - Remix","3whrwq4DtvucphBPUogRuJ",69233,"2018-01-07"
"Juan Magán, Belinda, Manuel Turizo, Snova, B-Case","Déjate Llevar","3xWEI23MLJrD0dpDcDUTW6",69037,"2018-01-07"
"Wisin, Daddy Yankee, Yandel","Todo Comienza en la Disco","3a2aBKuvgP1qHo3BqU3lGh",67511,"2018-01-07"
"J Balvin, Jowell & Randy","Bonita","693iqPOQvhI7PobtR8CC8v",66722,"2018-01-07"
"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán","Bum Bum Tam Tam","4zWO4gvuFtw6EJZC5FFGlr",65575,"2018-01-07"
"Maluma","Felices los 4","0qYTZCo5Bwh1nsUFGZP3zn",64263,"2018-01-07"
"Dua Lipa","New Rules","2ekn2ttSfGqwhhate0LSR0",59752,"2018-01-07"
"Chris Jedi, J Balvin, Ozuna, Arcangel","Ahora Dice","22eADXu8DfOAUEDw4vU8qy",58689,"2018-01-07"
"Ozuna","Tú Foto","5zSOVwaY3sVjnmLhuEfsuf",58611,"2018-01-07"
"Abraham Mateo, Farruko, Christian Daniel","Loco Enamorado","4N1c5rmWOzRmB9SMacr5wB",57778,"2018-01-07"
"Amenazzy, Lary Overr","Solo","6zkgZ1pA4xHLMLgPXaF0Rk",57648,"2018-01-07"
"CNCO, Yandel","Hey DJ","209gZgcfLq2aUuu51vOWBl",56481,"2018-01-07"
"Piso 21","Besándote","13X0XdLMOdtbXVtAj2ox4h",56058,"2018-01-07"
"Zion & Lennox","Otra vez (feat. J Balvin)","3QwBODjSEzelZyVjxPOHdq",55300,"2018-01-07"
"De La Ghetto, Daddy Yankee, Ozuna, Chris Jedi","La fórmula (feat. Chris Jeday)","4XCQtUoRSh22Ep18ULmDnT",55173,"2018-01-07"
"Ed Sheeran","Shape of You","7qiZfU4dY1lWllzX7mPBI3",54468,"2018-01-07"
"Pusho, Ozuna, Wisin","La Realidad (Remix)","2PgsOTPkF25VJ9cZmUjSKE",53979,"2018-01-07"
"Jennifer Lopez","Amor, Amor, Amor (feat. Wisin)","7h9sdbDEBfkWSmO4mzGED6",53774,"2018-01-07"
"Anuel AA","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","5q2JbCNi4FcnglgPfxcV65",52937,"2018-01-07"
