"artist","song_name","song_id","streams","date"
"Ozuna, Manuel Turizo","Vaina Loca","1s2B5cndbqK8rPJEIcKJRQ",251675,"2018-08-14"
"Anuel AA, Zion","Hipócrita","6XBjCetHKdO5L9cwMDVffw",224057,"2018-08-14"
"J Balvin, Zion & Lennox","No Es Justo","5qFeMRz4TvetPmzjre9Dq7",212288,"2018-08-14"
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam","Te Boté - Remix","3V8UKqhEK5zBkBb6d6ub8i",179241,"2018-08-14"
"Becky G, Natti Natasha","Sin Pijama","2ijef6ni2amuunRoKTlgww",162532,"2018-08-14"
"Zion & Lennox","La player (Bandolera)","0VKkyBKCXyR99navhVRqcP",152559,"2018-08-14"
"Brytiago, Darell","Asesina","6rbhaJsE4uLzpPf8WYSHDK",148919,"2018-08-14"
"Becky G, Paulo Londra","Cuando Te Besé","2XXMDz7SPZ4mSFN1PXfHUy",141316,"2018-08-14"
"Anuel AA","Quiere Beber","3rPAD722s5FFNnwjC91t7Z",141308,"2018-08-14"
"Sebastian Yatra, Luis Figueroa, Lary Over","Por Perro","2alIsNw1mqEShbWyO1HXZZ",133988,"2018-08-14"
"Bad Bunny","Estamos Bien","7glCSQqV5o6NU88Cn4zPZn",133452,"2018-08-14"
"Thalia, Natti Natasha","No Me Acuerdo","00EPIEnX1JFjff8sC6bccd",121887,"2018-08-14"
"Ozuna","Unica","6752EZMgXswvRBH3N2PilO",118843,"2018-08-14"
"Reik","Me Niego (feat. Ozuna & Wisin)","6jA8JUuPCGYjFcgw0AoM5T",109682,"2018-08-14"
"Leslie Grace, Noriel","Duro y Suave","31M5m42C3EGlbydf9XB5to",109009,"2018-08-14"
"Cosculluela","Madura (feat. Bad Bunny)","0r9d60ZYPAlFHq8qnUtkXN",108333,"2018-08-14"
"Nicky Jam, J Balvin","X (feat. Maluma & Ozuna) - Remix","6JjPBQfI2Y8nIjnm65X6Pw",96309,"2018-08-14"
"Paulo Londra","Chica Paranormal","2r77vqSZkOktTSgmAOoHsV",95693,"2018-08-14"
"Justin Quiles","No Quiero Amarte (feat. Zion & Lennox)","5bITfqKGaPakO1l99hOMsI",95368,"2018-08-14"
"Anuel AA, Ozuna","Brindemos","7LeQ55Z5jPBB0ggYJtAiYO",93276,"2018-08-14"
"Drake","In My Feelings","2G7V7zsVDxg1yRsu7Ew9RJ",92657,"2018-08-14"
"Daddy Yankee, Natti Natasha, Becky G, Bad Bunny","Dura - Remix","6U2NuJILEOEpW2tVCuqKHb",92031,"2018-08-14"
"Shakira, Maluma","Clandestino","7DrluKkTviBwCc8AV3VGmf",91536,"2018-08-14"
"Anuel AA, Wisin","Pensando en Ti","3aY5VP7fEtVHfEc1o8eRNK",85374,"2018-08-14"
"Daddy Yankee, R.K.M & Ken-Y, Arcangel","Zum Zum","7lEhOiFtcLXY4P7cuTKuQ8",84982,"2018-08-14"
"Cardi B, Bad Bunny, J Balvin","I Like It","58q2HKrzhC3ozto2nDdN4z",84476,"2018-08-14"
"Piso 21, Paulo Londra","Te Amo","2RVrdr062uLFxXwIxwdXPH",79312,"2018-08-14"
"Nacho, Ozuna","Casualidad","08rwXPBZ2DHOwnL7xaz044",78476,"2018-08-14"
"Sofía Reyes","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","4QtiVmuA88tPQiCOHZuQ5b",76777,"2018-08-14"
"Paulo Londra, Lenny Tavárez","Nena Maldicion (feat. Lenny Tavarez)","3TnhQSRwT3AVMdXw5JPq0x",71607,"2018-08-14"
"KAROL G","Mi Cama","7sFYVcKSb24qg0dAkqLEFj",71434,"2018-08-14"
"Wolfine, Maluma","Bella - Remix","0SaYeGhSXN0dDWstyNTQ56",68294,"2018-08-14"
"Bryant Myers, Bad Bunny","Triste","5MNS5FF4LrTX0jIaI0gory",68255,"2018-08-14"
"Piso 21","Déjala Que Vuelva (feat. Manuel Turizo)","1j6xOGusnyXq3l6IryKF3G",67577,"2018-08-14"
"Danny Ocean","Dembow","2EzRdhuoPyNJDlep7lnNf2",67067,"2018-08-14"
"Ozuna","Síguelo Bailando","5Y9fnynLlIvqtM710MHzfz",65280,"2018-08-14"
"Prince Royce","El Clavo (feat. Maluma) - Remix","6bI00brFpeprqCDqKouEJS",64353,"2018-08-14"
"Chris Jedi, Ozuna, Brytiago","Bipolar","4WzsycqZkpkS48H9AAAGux",63408,"2018-08-14"
"KHEA, Bad Bunny, Duki, Cazzu","Loca Remix","2CRbiMK0W14l71SpDKqKZM",62704,"2018-08-14"
"Luis Fonsi, Stefflon Don","Calypso","4178A5NkEjcsGc64jpBO6d",61242,"2018-08-14"
"Santaferia","El Gil de Tu Ex","3cUE3p7E39CzGjQoEsg7sM",58965,"2018-08-14"
"Nicky Jam, J Balvin","X","39N9RPD9MRb5WmoLzNzPeA",58406,"2018-08-14"
"Calvin Harris","One Kiss (with Dua Lipa)","7ef4DlsgrMEH11cDZd32M6",57386,"2018-08-14"
"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty","Solita","7rwX0O3RlxqqIjQM8evm5E",57193,"2018-08-14"
"KAROL G, J Balvin, Nicky Jam","Mi Cama - Remix","38QmUDpkoYlNbMKvpvAsrE",56382,"2018-08-14"
"J Balvin","Ambiente","6VrBWh90BiwWmwKtvwWFcq",56149,"2018-08-14"
"Maluma","El Préstamo","2XVilv6s9GETnw9PG4T9Mz",55202,"2018-08-14"
"Anuel AA","Bandolera","3WapscF576b4Gw6tED2kWL",49453,"2018-08-14"
"Cami, Antonio José","No Es Real","1MinRPeRKZONS8Zoo9jjEg",49325,"2018-08-14"
"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez","Toda - Remix","7nD2JPaxIKUdxd2UWgnaGL",48191,"2018-08-14"
"Ozuna, Romeo Santos","El Farsante - Remix","7uYgVgRSgqluZclLS7wpp4",45533,"2018-08-14"
"Sebastian Yatra","No Hay Nadie Más","3IPJg1sdqLj12kFIndaonN",42545,"2018-08-14"
"Natti Natasha, Ozuna","Criminal","6Za3190Sbw39BBC77WSS1C",42462,"2018-08-14"
"Maroon 5","Girls Like You (feat. Cardi B)","7fa9MBXhVfQ8P8Df9OEbD8",42230,"2018-08-14"
"Moral Distraida","Hacerlo de Día","0nApFXPoSanA4n7j563Ind",41649,"2018-08-14"
"David Bisbal, Sebastian Yatra","A Partir De Hoy","7ojH6H4wE6XJNgzU4uvNc8",40459,"2018-08-14"
"XXXTENTACION","SAD!","3ee8Jmje8o58CHK66QrVC2",40304,"2018-08-14"
"Maluma","Mala Mía","62o8KoI44JfN7aYxgTnPvh",39610,"2018-08-14"
"Plan B, Chencho Corleone, Farruko, Darell, Brytiago","Ella Fuma","4IYxcqhcFFJ025qfWJeulF",38739,"2018-08-14"
"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper","No Brainer","5WvAo7DNuPRmk4APhdPzi8",36652,"2018-08-14"
"Juhn, Ozuna","Confia Remix","1Pa6vEvBMLyHcgNxU8yk23",36000,"2018-08-14"
"Ozuna","Se Preparó","1m69ELEgE6k5ZWsap40ozt",35711,"2018-08-14"
"Bryant Myers, Plan B","Ponle Música","5OjMzj9AamnqOVoGph315H",35611,"2018-08-14"
"Paulo Londra","Dimelo","3uwehoqKSQLa5lFFvIX6M3",35552,"2018-08-14"
"Manuel Turizo","Culpables","3RD0PGolM0mETGHaprwgMn",34556,"2018-08-14"
"Anuel AA","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","5q2JbCNi4FcnglgPfxcV65",34236,"2018-08-14"
"J Balvin, Wisin, Yandel","Peligrosa","3Nkqp3NSGWMXVVO08zGpN7",33967,"2018-08-14"
"Danny Ocean","Me Rehúso","6De0lHrwBfPfrhorm9q1Xl",33647,"2018-08-14"
"Anitta","Medicina","4R5xvs5X0phd0EYWyGigju",33479,"2018-08-14"
"Wolfine","Bella","3xcCix7Jv1Rp90YVmgo35D",33447,"2018-08-14"
"Anuel AA","Naturaleza","1icm3g1X4j3tFk4z2PrauY",33330,"2018-08-14"
"Anuel AA","Na' Nuevo","02LKuab9xcpE1dGc5Gd8iM",33220,"2018-08-14"
"Anuel AA","Modo de Avión","6BCEo2rSKFYVubwhXl9KxK",33135,"2018-08-14"
"Ozuna, J Balvin","Quiero Repetir","0MIcPSq9n2z5H8TAfEstri",32485,"2018-08-14"
"Gepe","Hablar de Ti","1vV2FBKYvu6sJDqzSCNgbI",31749,"2018-08-14"
"Ed Sheeran","Shape of You","7qiZfU4dY1lWllzX7mPBI3",31700,"2018-08-14"
"Wisin","Escápate Conmigo (feat. Ozuna)","1KSqYYJFyfTecXFk9M0prc",31644,"2018-08-14"
"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian","Sensualidad","5hcisvFMidkMJlElTO9Qmw",31320,"2018-08-14"
"Dua Lipa","New Rules","2ekn2ttSfGqwhhate0LSR0",31130,"2018-08-14"
"Anuel AA, Ñengo Flow","Yeezy","4CzA04WEvvXF6ItpzVTP4b",30072,"2018-08-14"
"Nicky Jam, Bad Bunny, Arcangel","Satisfacción","21WvAGxPUNJARcZoSqswd7",29752,"2018-08-14"
"Anuel AA","Tú No Lo Amas","5Wr2fVAVxcEfFwvJhIInH7",29704,"2018-08-14"
"Anuel AA","Espina","5V83X8DPJ1CxO13xltF8cg",29557,"2018-08-14"
"Dua Lipa","IDGAF","76cy1WJvNGJTj78UqeA5zr",29428,"2018-08-14"
"Luis Fonsi, Demi Lovato","Échame La Culpa","2hl6q70unbviGo3g1R7uFx",29134,"2018-08-14"
"Zion & Lennox","Otra vez (feat. J Balvin)","3QwBODjSEzelZyVjxPOHdq",29016,"2018-08-14"
"Arcangel, Bad Bunny","Original","1LBlcCtOrKITXpEp1hnNpj",28958,"2018-08-14"
"Alex Sensation, Ozuna","Que Va","6J1R5wtPXiHiwiPstOSI56",28428,"2018-08-14"
