"artist","song_name","song_id","streams","date"
"DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4w8niZpiMy6qz1mntFA5uM",303084,"2018-11-08"
"Bad Bunny","MIA (feat. Drake)","116H0KvKr2Zl4RPuVBruDO",296817,"2018-11-08"
"6ix9ine, Anuel AA","BEBE","7ATATJztoWLcqDAcVVof0C",207351,"2018-11-08"
"Ozuna, Manuel Turizo","Vaina Loca","48zFZh27QU5qsrBjn4C2FA",201796,"2018-11-08"
"Becky G, Paulo Londra","Cuando Te Besé","2XXMDz7SPZ4mSFN1PXfHUy",197371,"2018-11-08"
"Anuel AA, Zion","Hipócrita","6XBjCetHKdO5L9cwMDVffw",193259,"2018-11-08"
"Anuel AA","Quiere Beber","3rPAD722s5FFNnwjC91t7Z",189193,"2018-11-08"
"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA","Asesina - Remix","59PYgzOiOjGDzjDT5N5oOX",178976,"2018-11-08"
"Paulo Londra","Adan y Eva","6FyRXC8tJUh863JCkyWqtk",176618,"2018-11-08"
"Anuel AA, Romeo Santos","Ella Quiere Beber - Remix","2cYnZNzFRFK0H7vSNxPsUq",169968,"2018-11-08"
"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA","Bubalu","7dNwJbsT0sg1le5kVugGJb",169813,"2018-11-08"
"Paloma Mami","Not Steady","42ArfZUgGo3k5btIHp08it",163384,"2018-11-08"
"Luis Fonsi, Ozuna","Imposible","3ao3OVxHlb3C08vAaApUlm",161491,"2018-11-08"
"Bryant Myers","Tanta Falta","0sPTfDSZgE3KvcvqaKPtEx",157510,"2018-11-08"
"KAROL G, Anuel AA","Culpables","6q8Lb50EtqNeeJXXe8mMAH",149587,"2018-11-08"
"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez","Toda - Remix","7nD2JPaxIKUdxd2UWgnaGL",133654,"2018-11-08"
"J Balvin, Zion & Lennox","No Es Justo","5qFeMRz4TvetPmzjre9Dq7",131896,"2018-11-08"
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam","Te Boté - Remix","3V8UKqhEK5zBkBb6d6ub8i",126605,"2018-11-08"
"Sebastian Yatra, Mau y Ricky","Ya No Tiene Novio","7uQmJ1jgNzBpATSoWKSPFu",114344,"2018-11-08"
"Kevin Roldan","PPP","1DcxnVNFAyVl2sDQ646pXS",113198,"2018-11-08"
"Becky G, Natti Natasha","Sin Pijama","2ijef6ni2amuunRoKTlgww",106625,"2018-11-08"
"Wisin & Yandel","Reggaetón en lo Oscuro","3aUTkuo4ObA6QPtZSu5NBq",106381,"2018-11-08"
"Thalia, Natti Natasha","No Me Acuerdo","00EPIEnX1JFjff8sC6bccd",106317,"2018-11-08"
"Reik, Maluma","Amigos Con Derechos","2zDj4WjbNDmrRL6Z4YjjCA",100873,"2018-11-08"
"Brytiago, Darell","Asesina","6rbhaJsE4uLzpPf8WYSHDK",99786,"2018-11-08"
"Maluma","Mala Mía","62o8KoI44JfN7aYxgTnPvh",89147,"2018-11-08"
"Ozuna, Romeo Santos","Ibiza","1h9P5WJwyvK8OB7O2YiXgp",86535,"2018-11-08"
"Zion & Lennox","Hola","2dYJKHEqAUTCk2U9zntaS1",83521,"2018-11-08"
"Paulo Londra","Chica Paranormal","2r77vqSZkOktTSgmAOoHsV",80161,"2018-11-08"
"Zion & Lennox","La player (Bandolera)","0VKkyBKCXyR99navhVRqcP",79735,"2018-11-08"
"Lary Over, Lirico En La Casa","Subete","6CWMm2mJOrKyDH4W1X5d06",78635,"2018-11-08"
"Sebastian Yatra, Luis Figueroa, Lary Over","Por Perro","2alIsNw1mqEShbWyO1HXZZ",73422,"2018-11-08"
"Shakira, Maluma","Clandestino","7DrluKkTviBwCc8AV3VGmf",73247,"2018-11-08"
"Santaferia","El Gil de Tu Ex","3cUE3p7E39CzGjQoEsg7sM",72770,"2018-11-08"
"Queen","Bohemian Rhapsody - Remastered 2011","7tFiyTwD0nx5a1eklYtX2J",71150,"2018-11-08"
"Paulo Londra, Lenny Tavárez","Nena Maldicion (feat. Lenny Tavarez)","3TnhQSRwT3AVMdXw5JPq0x",70713,"2018-11-08"
"Pedro Capó, Farruko","Calma - Remix","5iwz1NiezX7WWjnCgY5TH4",70393,"2018-11-08"
"Justin Quiles","No Quiero Amarte (feat. Zion & Lennox)","5bITfqKGaPakO1l99hOMsI",68799,"2018-11-08"
"Ozuna","Me Dijeron","17UUYZ290omPaJY4wKeyHh",68734,"2018-11-08"
"Bad Bunny","Estamos Bien","7glCSQqV5o6NU88Cn4zPZn",68375,"2018-11-08"
"Cosculluela","Madura (feat. Bad Bunny)","0r9d60ZYPAlFHq8qnUtkXN",66565,"2018-11-08"
"Ariana Grande","thank u, next","2rPE9A1vEgShuZxxzR2tZH",65284,"2018-11-08"
"Leslie Grace, Noriel","Duro y Suave","31M5m42C3EGlbydf9XB5to",65202,"2018-11-08"
"Anuel AA, Wisin","Pensando en Ti","3aY5VP7fEtVHfEc1o8eRNK",63242,"2018-11-08"
"KAROL G, Maluma","Créeme","1mT47pKLXUwPYGwB91GcNz",61262,"2018-11-08"
"Morat","Cuando Nadie Ve","71iAechwVKGu26pahzFL0k",60734,"2018-11-08"
"Marc Anthony, Will Smith, Bad Bunny","Está Rico","2wRkBumdItthjYP9XknImg",58724,"2018-11-08"
"Nacho, Ozuna","Casualidad","08rwXPBZ2DHOwnL7xaz044",56838,"2018-11-08"
"DrefQuila","A fuego","5gkSbR9E0jDgv65XeT5v5R",54876,"2018-11-08"
"Nicky Jam, J Balvin","X (feat. Maluma & Ozuna) - Remix","6JjPBQfI2Y8nIjnm65X6Pw",53262,"2018-11-08"
"Daddy Yankee, R.K.M & Ken-Y, Arcangel","Zum Zum","7lEhOiFtcLXY4P7cuTKuQ8",53203,"2018-11-08"
"El Alfa","Suave (Remix) [feat. Bryant Myers, Jon Z, Miky Woodz, Noriel & Plan B]","4joSWXgF9JfbeVtsEA3Bb4",53075,"2018-11-08"
"Ozuna, Anuel AA, Wisin, Yandel","Unica - Remix","5Sv1rKKMX1yl9kfJ2HTluk",52328,"2018-11-08"
"Santaferia","Algún Día Volveras","27uAea0qcUz3a7jKnAT7KG",52321,"2018-11-08"
"Lalo Ebratt, J Balvin, Trapical","Mocca - Remix","1usoXi4f0BnMART4uActEA",51734,"2018-11-08"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",51108,"2018-11-08"
"Valentino","Tú Y Yo (feat. Nicky Jam & Justin Quiles)","58smOywZbVu8AjWutppiQA",50971,"2018-11-08"
"Anuel AA, Ozuna","Brindemos","7LeQ55Z5jPBB0ggYJtAiYO",50136,"2018-11-08"
"Reik","Me Niego (feat. Ozuna & Wisin)","6jA8JUuPCGYjFcgw0AoM5T",49833,"2018-11-08"
"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson","¿Cual es tu plan?","4HRDBtek0ayfLQ6uc7rjO9",48482,"2018-11-08"
"Maroon 5","Girls Like You (feat. Cardi B)","7fa9MBXhVfQ8P8Df9OEbD8",48408,"2018-11-08"
"Queen","Another One Bites The Dust - Remastered 2011","5vdp5UmvTsnMEMESIF2Ym7",48024,"2018-11-08"
"Piso 21, Paulo Londra","Te Amo","2RVrdr062uLFxXwIxwdXPH",45864,"2018-11-08"
"Piso 21","Puntos Suspensivos","04cd1MHVq1D8v1nuTZoCdv",45001,"2018-11-08"
"XXXTENTACION, Lil Pump","Arms Around You (feat. Maluma & Swae Lee)","2LskIZrCeLxRvCiGP8gxlh",44775,"2018-11-08"
"Bomba Estéreo","To My Love - Tainy Remix","5LciLoxa1gK70yIUeoHgRx",44529,"2018-11-08"
"Damas Gratis, Viru Kumbieron","Me Vas a Extrañar - En Vivo","3CACzG9I3AoKUKA3ODE5zW",44335,"2018-11-08"
"KHEA, Bad Bunny, Duki, Cazzu","Loca Remix","2CRbiMK0W14l71SpDKqKZM",44091,"2018-11-08"
"Ozuna, Anuel AA","Supuestamente","1ZBU5DSoYQwaZVgep6pfn2",44008,"2018-11-08"
"Daddy Yankee, Natti Natasha, Becky G, Bad Bunny","Dura - Remix","6U2NuJILEOEpW2tVCuqKHb",43113,"2018-11-08"
"De La Ghetto","Caliente (feat. J Balvin)","7zjxmI7AldHmhWfFozqv3t",42456,"2018-11-08"
"Moral Distraida","Hacerlo de Día","0nApFXPoSanA4n7j563Ind",41292,"2018-11-08"
"Queen, David Bowie","Under Pressure - Remastered 2011","2fuCquhmrzHpu5xcA1ci9x",41203,"2018-11-08"
"Mau y Ricky, Manuel Turizo, Camilo","Desconocidos","0s5DNDV6LAKn2u2Ufa3VjQ",40852,"2018-11-08"
"Brytiago, Rafa Pabön","La Mentira","59xZZeF6Ve0ZfCd7AcFvXr",40372,"2018-11-08"
