"artist","song_name","song_id","streams","date"
"Ozuna, Manuel Turizo","Vaina Loca","1s2B5cndbqK8rPJEIcKJRQ",235044,"2018-08-02"
"J Balvin, Zion & Lennox","No Es Justo","5qFeMRz4TvetPmzjre9Dq7",206043,"2018-08-02"
"Anuel AA, Zion","Hipócrita","6XBjCetHKdO5L9cwMDVffw",192428,"2018-08-02"
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam","Te Boté - Remix","3V8UKqhEK5zBkBb6d6ub8i",181458,"2018-08-02"
"Becky G, Natti Natasha","Sin Pijama","2ijef6ni2amuunRoKTlgww",172943,"2018-08-02"
"Zion & Lennox","La player (Bandolera)","0VKkyBKCXyR99navhVRqcP",148889,"2018-08-02"
"Brytiago, Darell","Asesina","6rbhaJsE4uLzpPf8WYSHDK",136726,"2018-08-02"
"Don Khuma","Estamos Bien","1DRJZUVcs6i6TkdNUXAi6m",125047,"2018-08-02"
"Sebastian Yatra, Luis Figueroa, Lary Over","Por Perro","2alIsNw1mqEShbWyO1HXZZ",124672,"2018-08-02"
"Anuel AA","Quiere Beber","3rPAD722s5FFNnwjC91t7Z",119306,"2018-08-02"
"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez","Toda - Remix","7nD2JPaxIKUdxd2UWgnaGL",117350,"2018-08-02"
"Leslie Grace, Noriel","Duro y Suave","31M5m42C3EGlbydf9XB5to",115228,"2018-08-02"
"Ozuna","Unica","6752EZMgXswvRBH3N2PilO",112299,"2018-08-02"
"Reik","Me Niego (feat. Ozuna & Wisin)","6jA8JUuPCGYjFcgw0AoM5T",109572,"2018-08-02"
"Drake","In My Feelings","2G7V7zsVDxg1yRsu7Ew9RJ",105646,"2018-08-02"
"Cosculluela","Madura (feat. Bad Bunny)","0r9d60ZYPAlFHq8qnUtkXN",102498,"2018-08-02"
"Nicky Jam, J Balvin","X (feat. Maluma & Ozuna) - Remix","6JjPBQfI2Y8nIjnm65X6Pw",98693,"2018-08-02"
"Thalia, Natti Natasha","No Me Acuerdo","00EPIEnX1JFjff8sC6bccd",98553,"2018-08-02"
"Daddy Yankee, Natti Natasha, Becky G, Bad Bunny","Dura - Remix","6U2NuJILEOEpW2tVCuqKHb",95192,"2018-08-02"
"Justin Quiles","No Quiero Amarte (feat. Zion & Lennox)","5bITfqKGaPakO1l99hOMsI",87977,"2018-08-02"
"Shakira, Maluma","Clandestino","7DrluKkTviBwCc8AV3VGmf",83991,"2018-08-02"
"Daddy Yankee, R.K.M & Ken-Y, Arcangel","Zum Zum","7lEhOiFtcLXY4P7cuTKuQ8",81251,"2018-08-02"
"Don Khuma","Brindemos","4T0H32wnAJwvgBzYHojZhO",81040,"2018-08-02"
"KAROL G","Mi Cama","7sFYVcKSb24qg0dAkqLEFj",80577,"2018-08-02"
