"artist","song_name","song_id","streams","date"
"Luis Fonsi, Demi Lovato","Échame La Culpa","1zsG4eaZmkA1dvjDDsAGLK",183791,"2018-01-14"
"Maluma, Nego do Borel","Corazón","4lESS6vuruP6a79KWRaQou",180408,"2018-01-14"
"Piso 21","Déjala Que Vuelva (feat. Manuel Turizo)","33bnxcjePIkcmNjEFTJX0l",170977,"2018-01-14"
"Wolfine","Bella","4R55IUi2x7S5ek2SpebOiE",167522,"2018-01-14"
"Natti Natasha, Ozuna","Criminal","6Za3190Sbw39BBC77WSS1C",151759,"2018-01-14"
"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian","Sensualidad","5hcisvFMidkMJlElTO9Qmw",146713,"2018-01-14"
"Ozuna","Se Preparó","1m69ELEgE6k5ZWsap40ozt",128179,"2018-01-14"
"MC Kevinho","Olha a Explosão","6m2LNopVJKsvBB9l7Z1rwn",120718,"2018-01-14"
"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian","Báilame - Remix","3VClLWqNn80Llv0PJOsKgr",115365,"2018-01-14"
"Joey Montana, Sebastian Yatra","Suena El Dembow","5TysCiZtv1HnSWcTcUFusI",114729,"2018-01-14"
"Alex Sensation, Ozuna","Que Va","7ofxPmTNMj2GP07g1VZa0O",114119,"2018-01-14"
"Becky G, Bad Bunny","Mayores","7JNh1cfm0eXjqFVOzKLyau",112577,"2018-01-14"
"Romeo Santos, Daddy Yankee, Nicky Jam","Bella y Sensual","0ERbK7qVqveCaBWIiYCrl3",103179,"2018-01-14"
"Danny Ocean","Me Rehúso","6De0lHrwBfPfrhorm9q1Xl",100738,"2018-01-14"
"Anitta, J Balvin","Downtown","3Ga6eKrUFf12ouh9Yw3v2D",100683,"2018-01-14"
"Shakira","Perro Fiel (feat. Nicky Jam)","70lnL3QaSOIIyMa2X9aVRL",99486,"2018-01-14"
"Ozuna, J Balvin","Quiero Repetir","0MIcPSq9n2z5H8TAfEstri",92465,"2018-01-14"
"Ozuna","Síguelo Bailando","5Y9fnynLlIvqtM710MHzfz",90633,"2018-01-14"
"Wisin","Escápate Conmigo (feat. Ozuna)","1KSqYYJFyfTecXFk9M0prc",88546,"2018-01-14"
"Enrique Iglesias","EL BAÑO (feat. Bad Bunny)","2vvdTrdryjsl8DmPIMDWZU",85996,"2018-01-14"
"Jesse & Joy, Gente De Zona","3 A.M.","0yyZN5ASdrYu0XYWFzfxUu",84956,"2018-01-14"
"Daddy Yankee, Bad Bunny","Vuelve","0lJCqIx5BhZtf6QtYI2fbv",78569,"2018-01-14"
"Carlos Vives, Sebastian Yatra","Robarte un Beso","0JcNysfWVWaMS7R6vzGB2k",76173,"2018-01-14"
"Juan Magán, Belinda, Manuel Turizo, Snova, B-Case","Déjate Llevar","3xWEI23MLJrD0dpDcDUTW6",76004,"2018-01-14"
"Wisin, Daddy Yankee, Yandel","Todo Comienza en la Disco","3a2aBKuvgP1qHo3BqU3lGh",74374,"2018-01-14"
"Sebastian Yatra, Dalmata","SUTRA","5TmZYdHW6HJ9gt7Aokuql5",73674,"2018-01-14"
"J Balvin, Willy William","Mi Gente","2rb5MvYT7ZIxbKW5hfcHx8",71571,"2018-01-14"
"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán","Bum Bum Tam Tam","4zWO4gvuFtw6EJZC5FFGlr",70218,"2018-01-14"
"Yandel","Explícale (feat. Bad Bunny)","1LszjjoVwDDZcWUQbzeDLG",70140,"2018-01-14"
"Yandel","Como Antes (feat. Wisin)","5YzA563GXTuwQaRq24z1k5",68852,"2018-01-14"
"Camila Cabello, Daddy Yankee","Havana - Remix","3whrwq4DtvucphBPUogRuJ",68056,"2018-01-14"
"Manuel Turizo","Una Lady Como Tú","7MHN1aCFtLXjownGhvEQlF",67897,"2018-01-14"
"Danny Ocean","Dembow","2EzRdhuoPyNJDlep7lnNf2",63941,"2018-01-14"
"J Balvin, Jowell & Randy","Bonita","693iqPOQvhI7PobtR8CC8v",60289,"2018-01-14"
"Maluma","Felices los 4","0qYTZCo5Bwh1nsUFGZP3zn",58473,"2018-01-14"
"Amenazzy, Lary Over","Solo","2rrJfOphzn4uQCK9X0x6R6",58118,"2018-01-14"
"Abraham Mateo, Farruko, Christian Daniel","Loco Enamorado","4N1c5rmWOzRmB9SMacr5wB",56265,"2018-01-14"
"Chris Jedi, J Balvin, Ozuna, Arcangel","Ahora Dice","22eADXu8DfOAUEDw4vU8qy",55908,"2018-01-14"
"Piso 21","Besándote","13X0XdLMOdtbXVtAj2ox4h",54940,"2018-01-14"
"Zion & Lennox","Otra vez (feat. J Balvin)","3QwBODjSEzelZyVjxPOHdq",54674,"2018-01-14"
"Pusho, Ozuna, Wisin","La Realidad (Remix)","2PgsOTPkF25VJ9cZmUjSKE",53367,"2018-01-14"
"Ed Sheeran","Shape of You","7qiZfU4dY1lWllzX7mPBI3",53076,"2018-01-14"
"Ozuna","Tú Foto","5zSOVwaY3sVjnmLhuEfsuf",53028,"2018-01-14"
"De La Ghetto, Daddy Yankee, Ozuna, Chris Jedi","La fórmula (feat. Chris Jeday)","4XCQtUoRSh22Ep18ULmDnT",52964,"2018-01-14"
"Dua Lipa","New Rules","2ekn2ttSfGqwhhate0LSR0",52453,"2018-01-14"
"Anuel AA","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","5q2JbCNi4FcnglgPfxcV65",52428,"2018-01-14"
"CNCO, Yandel","Hey DJ","209gZgcfLq2aUuu51vOWBl",51373,"2018-01-14"
"Bad Bunny","Chambea","6ElmxV9B2mSNscEjP27M7i",49364,"2018-01-14"
"Ozuna","El Farsante","5EId1m4DNwTf3at31w8bPJ",48744,"2018-01-14"
"Nicky Jam","Si Tú La Ves (feat. Wisin)","4yN6xPLopmTLvc27pO9LIE",44242,"2018-01-14"
