"artist","song_name","song_id","streams","date"
"Nicky Jam, J Balvin","X","39N9RPD9MRb5WmoLzNzPeA",227866,"2018-04-05"
"Zion & Lennox","La player (Bandolera)","0VKkyBKCXyR99navhVRqcP",197972,"2018-04-05"
"Reik","Me Niego (feat. Ozuna & Wisin)","6jA8JUuPCGYjFcgw0AoM5T",196660,"2018-04-05"
"Daddy Yankee","Dura","2j2fIJGh4PMdXt9ULI5Tlc",171630,"2018-04-05"
"Wolfine","Bella","3xcCix7Jv1Rp90YVmgo35D",159935,"2018-04-05"
"Piso 21","Déjala Que Vuelva (feat. Manuel Turizo)","33bnxcjePIkcmNjEFTJX0l",154216,"2018-04-05"
"Danny Ocean","Dembow","2EzRdhuoPyNJDlep7lnNf2",129641,"2018-04-05"
"Ozuna","Síguelo Bailando","5Y9fnynLlIvqtM710MHzfz",129472,"2018-04-05"
"Bad Bunny","Amorfoda","3ITvHA9zhZZdBJsOsAUegF",128817,"2018-04-05"
"KHEA, Bad Bunny, Duki, Cazzu","Loca Remix","2CRbiMK0W14l71SpDKqKZM",127470,"2018-04-05"
"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty","Solita","7rwX0O3RlxqqIjQM8evm5E",103365,"2018-04-05"
"Ozuna, Romeo Santos","El Farsante - Remix","7uYgVgRSgqluZclLS7wpp4",94643,"2018-04-05"
"Maluma, Nego do Borel","Corazón","4lESS6vuruP6a79KWRaQou",93432,"2018-04-05"
"Natti Natasha, Ozuna","Criminal","6Za3190Sbw39BBC77WSS1C",93377,"2018-04-05"
"Luis Fonsi, Demi Lovato","Échame La Culpa","1zsG4eaZmkA1dvjDDsAGLK",92023,"2018-04-05"
"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian","Sensualidad","5hcisvFMidkMJlElTO9Qmw",91542,"2018-04-05"
"Ozuna, J Balvin","Quiero Repetir","0MIcPSq9n2z5H8TAfEstri",81958,"2018-04-05"
"Piso 21, Paulo Londra","Te Amo","2RVrdr062uLFxXwIxwdXPH",81710,"2018-04-05"
"Manuel Turizo","Esperándote","1nfyE13arjOuO54HH0zmqj",80928,"2018-04-05"
"CNCO","Mamita","5ojXuKXBYq0apcNucYSDXq",80158,"2018-04-05"
"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian","Báilame - Remix","3VClLWqNn80Llv0PJOsKgr",79900,"2018-04-05"
"Paulo Londra, Lenny Tavárez","Nena Maldicion (feat. Lenny Tavarez)","3TnhQSRwT3AVMdXw5JPq0x",77207,"2018-04-05"
"Jesse & Joy, Gente De Zona","3 A.M.","0yyZN5ASdrYu0XYWFzfxUu",75377,"2018-04-05"
"Juan Magán, Belinda, Manuel Turizo, Snova, B-Case","Déjate Llevar","3xWEI23MLJrD0dpDcDUTW6",74661,"2018-04-05"
"Chris Jedi, Ozuna, Brytiago","Bipolar","4WzsycqZkpkS48H9AAAGux",74539,"2018-04-05"
"Ozuna","Se Preparó","1m69ELEgE6k5ZWsap40ozt",74419,"2018-04-05"
"Anitta, J Balvin","Downtown","3Ga6eKrUFf12ouh9Yw3v2D",73158,"2018-04-05"
"Maluma","El Préstamo","0QS5rZpm5zN9wV9lJgjyUE",72970,"2018-04-05"
"Sofía Reyes","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","4QtiVmuA88tPQiCOHZuQ5b",71892,"2018-04-05"
"Joey Montana, Sebastian Yatra","Suena El Dembow","5TysCiZtv1HnSWcTcUFusI",70644,"2018-04-05"
"Alex Sensation, Ozuna","Que Va","7ofxPmTNMj2GP07g1VZa0O",70206,"2018-04-05"
"Enrique Iglesias","EL BAÑO (feat. Bad Bunny)","2vvdTrdryjsl8DmPIMDWZU",67577,"2018-04-05"
"Leslie Grace, Noriel","Duro y Suave","31M5m42C3EGlbydf9XB5to",67462,"2018-04-05"
"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán","Bum Bum Tam Tam","4zWO4gvuFtw6EJZC5FFGlr",66467,"2018-04-05"
"Natti Natasha, Bad Bunny","Amantes de una Noche","2iCOdoyDmWG3hWkbtH1KB2",64600,"2018-04-05"
"Romeo Santos, Daddy Yankee, Nicky Jam","Bella y Sensual","0ERbK7qVqveCaBWIiYCrl3",64335,"2018-04-05"
"Danny Ocean","Me Rehúso","6De0lHrwBfPfrhorm9q1Xl",62889,"2018-04-05"
"Wisin, Daddy Yankee, Yandel","Todo Comienza en la Disco","3a2aBKuvgP1qHo3BqU3lGh",60342,"2018-04-05"
"J Balvin, Jeon, Anitta","Machika","6MNGxu8MprKGkchUchkJsy",59783,"2018-04-05"
"Wisin","Escápate Conmigo (feat. Ozuna)","1KSqYYJFyfTecXFk9M0prc",58117,"2018-04-05"
"Drake","God's Plan","2XW4DbS6NddZxRPm5rMCeY",57475,"2018-04-05"
"Cami","Abrázame","2UxYLI09fvaxzKAcgudK7Z",57054,"2018-04-05"
"Bad Bunny","Dime Si Te Acuerdas","49VSioK272TASR4r9vRTuP",56814,"2018-04-05"
"Daddy Yankee, Bad Bunny","Vuelve","0lJCqIx5BhZtf6QtYI2fbv",54036,"2018-04-05"
"Sebastian Yatra, Dalmata","SUTRA","5TmZYdHW6HJ9gt7Aokuql5",52376,"2018-04-05"
"MC Kevinho","Olha a Explosão","6m2LNopVJKsvBB9l7Z1rwn",51950,"2018-04-05"
"Carlos Vives, Sebastian Yatra","Robarte un Beso","0JcNysfWVWaMS7R6vzGB2k",51948,"2018-04-05"
"Prince Royce","El Clavo","0LKErfBZ5FbBiLB4OcZRbL",51165,"2018-04-05"
"Becky G, Bad Bunny","Mayores","7JNh1cfm0eXjqFVOzKLyau",49528,"2018-04-05"
"Zion & Lennox","Otra vez (feat. J Balvin)","3QwBODjSEzelZyVjxPOHdq",46762,"2018-04-05"
"The Weeknd","Call Out My Name","1gm616Plq4ScqNi7TVkZ5N",44328,"2018-04-05"
"KHEA, Duki, Cazzu, Omar Varela, MYKKA","Loca","0vnrhysrKKRdNYFKLAGzRc",39022,"2018-04-05"
"Sebastian Yatra, Luis Figueroa, Lary Over","Por Perro","1XM5PgxjpYcF0JuE9nfUbS",37768,"2018-04-05"
"Dua Lipa","IDGAF","76cy1WJvNGJTj78UqeA5zr",37068,"2018-04-05"
"Ricky Martin","Fiebre (feat. Wisin & Yandel)","0oFqlgK2LJ9eMlpGBCmRvf",36995,"2018-04-05"
"J Balvin","Ahora","54OB85nuxYGfl7qRQXuz7c",36209,"2018-04-05"
"Nacho","No Te Vas","6yuArSnBrhykjkCxb8eXvl",35825,"2018-04-05"
"Duki","She Don't Give a FO (feat. Khea)","7ehmaSwhEZv4aaJzxsVMGY",34981,"2018-04-05"
"Revol, J Balvin, Bad Bunny, Arcangel, De La Ghetto","Dime","08wJw4VdkKImX4t1vL6MsO",33716,"2018-04-05"
"Sebastian Yatra","No Hay Nadie Más","6wos8Ds5FKMe33GjBHRake",33344,"2018-04-05"
"David Bisbal, Sebastian Yatra","A Partir De Hoy","1FMNuRMIcPD6PDQGoi5Ifn",32154,"2018-04-05"
"Ed Sheeran","Shape of You","7qiZfU4dY1lWllzX7mPBI3",31906,"2018-04-05"
"Dua Lipa","New Rules","2ekn2ttSfGqwhhate0LSR0",31135,"2018-04-05"
"Anuel AA","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","5q2JbCNi4FcnglgPfxcV65",30181,"2018-04-05"
"Mau y Ricky, KAROL G, Becky G, Leslie Grace, Lali","Mi Mala - Remix","6kOHug1s9Nd5gsHrX8irs2",30050,"2018-04-05"
"Ozuna, Ele A El Dominio","Balenciaga","6yllTYSMEmOagRltq1VlsP",29493,"2018-04-05"
"Manuel Turizo","Una Lady Como Tú","7MHN1aCFtLXjownGhvEQlF",29008,"2018-04-05"
"Yandel","Como Antes (feat. Wisin)","5YzA563GXTuwQaRq24z1k5",28801,"2018-04-05"
"Marshmello, Anne-Marie","FRIENDS","08bNPGLD8AhKpnnERrAc6G",28732,"2018-04-05"
"Yandel","Explícale (feat. Bad Bunny)","1LszjjoVwDDZcWUQbzeDLG",28502,"2018-04-05"
"Cami","Ven","7eEdZKfreDKafp0FuLKDET",27798,"2018-04-05"
"Chris Jedi, J Balvin, Ozuna, Arcangel","Ahora Dice","22eADXu8DfOAUEDw4vU8qy",27717,"2018-04-05"
"Ed Sheeran","Perfect","0tgVpDi06FyKpA1z0VMD4v",27470,"2018-04-05"
"Piso 21","Besándote","13X0XdLMOdtbXVtAj2ox4h",26096,"2018-04-05"
"Moral Distraida","Canción Bonita","338KFbIhA3EXCcqUzCRDyn",25842,"2018-04-05"
"Shakira","Perro Fiel (feat. Nicky Jam)","70lnL3QaSOIIyMa2X9aVRL",25782,"2018-04-05"
"KAROL G","Pineapple","24snQ8Ew7aIKYCt0ulXHvx",25627,"2018-04-05"
"Ozuna, Cardi B","La Modelo","2m2ZGfJcs3lHWNPzhWH3XH",25303,"2018-04-05"
