"artist","song_name","song_id","streams","date"
"Paloma Mami","No Te Enamores","0EJu1RBtxzldMG2peczuPv",298614,"2018-12-30"
"Pedro Capó, Farruko","Calma - Remix","5iwz1NiezX7WWjnCgY5TH4",281574,"2018-12-30"
"Paulo Londra","Adan y Eva","6FyRXC8tJUh863JCkyWqtk",273925,"2018-12-30"
"Anuel AA, Haze","Amanece","1LiN0Z98FkR1t0m8KmLcAH",243987,"2018-12-30"
"Paloma Mami","Not Steady","42ArfZUgGo3k5btIHp08it",238315,"2018-12-30"
"Bad Bunny","MIA (feat. Drake)","116H0KvKr2Zl4RPuVBruDO",219245,"2018-12-30"
"Daddy Yankee, Anuel AA","Adictiva","6MJUCumnQsQEKbCy28tbCP",200318,"2018-12-30"
"DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4w8niZpiMy6qz1mntFA5uM",179097,"2018-12-30"
"Luis Fonsi, Ozuna","Imposible","3ao3OVxHlb3C08vAaApUlm",165633,"2018-12-30"
"Becky G, Paulo Londra","Cuando Te Besé","2XXMDz7SPZ4mSFN1PXfHUy",155138,"2018-12-30"
"Ozuna, Manuel Turizo","Vaina Loca","48zFZh27QU5qsrBjn4C2FA",140228,"2018-12-30"
"6ix9ine, Anuel AA","BEBE","4KkUjFkcQvGvWekl8RATDn",140175,"2018-12-30"
"Anuel AA, Zion","Hipócrita","6XBjCetHKdO5L9cwMDVffw",134571,"2018-12-30"
"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA","Bubalu","7dNwJbsT0sg1le5kVugGJb",132871,"2018-12-30"
"Anuel AA, Romeo Santos","Ella Quiere Beber - Remix","2cYnZNzFRFK0H7vSNxPsUq",129405,"2018-12-30"
"Bad Bunny","Solo de Mi","4uP3pUP18ennmz0tb3GphR",129156,"2018-12-30"
"Mau y Ricky, Manuel Turizo, Camilo","Desconocidos","0s5DNDV6LAKn2u2Ufa3VjQ",122514,"2018-12-30"
"Sebastian Yatra, Mau y Ricky","Ya No Tiene Novio","7uQmJ1jgNzBpATSoWKSPFu",121086,"2018-12-30"
"KAROL G, Anuel AA","Culpables","6q8Lb50EtqNeeJXXe8mMAH",119259,"2018-12-30"
"J Balvin","Reggaeton","2D3z17LBMJ2HEHeBFFjTLi",113096,"2018-12-30"
"Kevin Roldan","PPP","1DcxnVNFAyVl2sDQ646pXS",112817,"2018-12-30"
"Anuel AA","Quiere Beber","3rPAD722s5FFNnwjC91t7Z",108789,"2018-12-30"
"Wisin & Yandel","Reggaetón en lo Oscuro","7LLXLd0pisbEAdIVK502VM",105862,"2018-12-30"
"Bryant Myers","Tanta Falta","0sPTfDSZgE3KvcvqaKPtEx",103658,"2018-12-30"
"Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose","A Solas - Remix","3T5QSIgoaPIh07SwixRDp7",101850,"2018-12-30"
"Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","0GmiGIxXDNrePrHBpijYDp",97933,"2018-12-30"
"Lary Over, Lirico En La Casa","Subete","6CWMm2mJOrKyDH4W1X5d06",88237,"2018-12-30"
"Duki","Sin Culpa (feat. DrefQuila)","3dLiBBKbeUIhzGNeuo5JGS",86660,"2018-12-30"
"Piso 21","Puntos Suspensivos","04cd1MHVq1D8v1nuTZoCdv",81065,"2018-12-30"
"Thalia, Natti Natasha","No Me Acuerdo","1G586ld1gbaECg4Bc6w40O",79980,"2018-12-30"
"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA","Asesina - Remix","59PYgzOiOjGDzjDT5N5oOX",78836,"2018-12-30"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",77043,"2018-12-30"
"Santaferia","El Gil de Tu Ex","3cUE3p7E39CzGjQoEsg7sM",76517,"2018-12-30"
"J Balvin, Zion & Lennox","No Es Justo","5qFeMRz4TvetPmzjre9Dq7",75513,"2018-12-30"
"Reik, Maluma","Amigos Con Derechos","2zDj4WjbNDmrRL6Z4YjjCA",73726,"2018-12-30"
"Zion & Lennox","La player (Bandolera)","0VKkyBKCXyR99navhVRqcP",70782,"2018-12-30"
"Bad Bunny","NI BIEN NI MAL","278kSqsZIiYp8p3QjYAqa8",68805,"2018-12-30"
"DrefQuila","Exhibicionista","7zrl664JsRglDmTlbCovAg",66382,"2018-12-30"
"Maluma","Mala Mía","62o8KoI44JfN7aYxgTnPvh",65658,"2018-12-30"
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam","Te Boté - Remix","3V8UKqhEK5zBkBb6d6ub8i",64413,"2018-12-30"
"Becky G, Natti Natasha","Sin Pijama","2ijef6ni2amuunRoKTlgww",63627,"2018-12-30"
"Zion & Lennox","Hola","2dYJKHEqAUTCk2U9zntaS1",62165,"2018-12-30"
"Santaferia","Algún Día Volveras","27uAea0qcUz3a7jKnAT7KG",61540,"2018-12-30"
"Ozuna, Lunay, Rauw Alejandro, Lyanno","Luz Apaga","5Q3e16qE1RE5oilN3ukasm",60397,"2018-12-30"
"Ozuna, Romeo Santos","Ibiza","1h9P5WJwyvK8OB7O2YiXgp",60364,"2018-12-30"
"Bad Bunny","Estamos Bien","2OWVCFTolecLiGZPquvWvT",59850,"2018-12-30"
"KAROL G, Maluma","Créeme","1mT47pKLXUwPYGwB91GcNz",58518,"2018-12-30"
"Paulo Londra","Chica Paranormal","7zAGi1cps7yYhAajGXlFTH",57655,"2018-12-30"
"DrefQuila","A fuego","5gkSbR9E0jDgv65XeT5v5R",56619,"2018-12-30"
"6ix9ine, Anuel AA","MALA","0LQ1J0BCzA2qnAgp9MkkNE",55562,"2018-12-30"
"Bad Bunny","Si Estuviésemos Juntos","35wvL50xvKpCHEJPxLOLPI",51986,"2018-12-30"
"Nacho, Manuel Turizo","Déjalo","4VTTpwcAxVSQNzEZLi75d0",49229,"2018-12-30"
"Ariana Grande","thank u, next","2rPE9A1vEgShuZxxzR2tZH",49132,"2018-12-30"
"Cami","Querida Rosa","6wBrZZ1LyiBxytLnpgnlhf",48943,"2018-12-30"
"Damas Gratis, Viru Kumbieron","Me Vas a Extrañar - En Vivo","3CACzG9I3AoKUKA3ODE5zW",47347,"2018-12-30"
"Wisin & Yandel, Ozuna","Callao","3gu0fRSgFuc4FmrtIv0DnC",47285,"2018-12-30"
"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone","Ta To Gucci (Remix)","7kuRvjpeUcn6qNV9IBXC2C",46375,"2018-12-30"
"Bad Bunny, El Alfa","La Romana","1khmgu0pveJbkbpbkyvcQv",46209,"2018-12-30"
"Marc Anthony, Will Smith, Bad Bunny","Está Rico","2wRkBumdItthjYP9XknImg",45688,"2018-12-30"
"Bad Bunny","Cuando Perriabas","5mj8WVFcKdGA8p9HWGTSLc",44702,"2018-12-30"
