"artist","song_name","song_id","streams","date"
"Luis Fonsi","Despacito (Featuring Daddy Yankee)","4aWmUDTfIPGksMNLV2rQP2",212463,"2017-02-27"
"Nicky Jam","El Amante","3umS4y3uQDkqekNjVpiRUs",123878,"2017-02-27"
"Mon Laferte","Tu Falta De Querer","4skuEIloXWuxxgekKupkEH",116395,"2017-02-27"
"CNCO","Reggaetón Lento (Bailemos)","3AEZUABDXNtecAOSC1qTfo",111625,"2017-02-27"
"Mon Laferte, Juanes","Amárrame","0u13src3QcditRU5VPduML",104352,"2017-02-27"
"Shakira","Chantaje (feat. Maluma)","6mICuAdrwEjh6Y6lroV2Kg",104234,"2017-02-27"
"Zion & Lennox","Otra vez (feat. J Balvin)","3QwBODjSEzelZyVjxPOHdq",99753,"2017-02-27"
"Ed Sheeran","Shape of You","7qiZfU4dY1lWllzX7mPBI3",97641,"2017-02-27"
"Anuel AA","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","5q2JbCNi4FcnglgPfxcV65",89628,"2017-02-27"
"Mon Laferte","Amor Completo","00kIWJu9IHiQ6i0qJAU0Z9",85964,"2017-02-27"
"J Balvin, Pharrell Williams, BIA, Sky","Safari","6rQSrBHf7HlZjtcMZ4S4bO",84217,"2017-02-27"
"Wisin","Vacaciones","3dQDid3IUNhZy1OehIfYfE",83731,"2017-02-27"
"Maluma","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","0JoHqmlqE0W0i9prt6kcHR",79782,"2017-02-27"
"Daddy Yankee, Ozuna","La Rompe Corazones","4okba5wu9mMLXx79DXLKi3",77368,"2017-02-27"
"Danny Ocean","Me Rehúso","6De0lHrwBfPfrhorm9q1Xl",75510,"2017-02-27"
"Ricky Martin","Vente Pa' Ca (feat. Maluma)","7DM4BPaS7uofFul3ywMe46",75130,"2017-02-27"
"Don Omar, Zion & Lennox","Te Quiero Pa´Mi","3BY2mafsbsoKGqS380Xnuz",72892,"2017-02-27"
