"artist","song_name","song_id","streams","date"
"Maluma","Felices los 4","0qYTZCo5Bwh1nsUFGZP3zn",175737,"2017-05-18"
"Danny Ocean","Me Rehúso","6Zosz8w6CmdGMZM6p4JlbQ",171697,"2017-05-18"
"Wisin, Ozuna","Escápate Conmigo","2cnKEkpVUSV4wnjQiTWfH6",142413,"2017-05-18"
"Chris Jedi, J Balvin, Ozuna, Arcangel","Ahora Dice","22eADXu8DfOAUEDw4vU8qy",121688,"2017-05-18"
"Ed Sheeran","Shape of You","7qiZfU4dY1lWllzX7mPBI3",111098,"2017-05-18"
"J Balvin","Sigo Extrañándote","6qDF4wWL49CAVbgT7yuHl8",93641,"2017-05-18"
"Luis Fonsi, Daddy Yankee, Justin Bieber","Despacito - Remix","5CtI0qwDJkDQGwXD1H1cLb",89627,"2017-05-18"
"Luis Fonsi","Despacito (Featuring Daddy Yankee)","4aWmUDTfIPGksMNLV2rQP2",86929,"2017-05-18"
"Nicky Jam","El Amante","3umS4y3uQDkqekNjVpiRUs",86601,"2017-05-18"
"Anuel AA","Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","5q2JbCNi4FcnglgPfxcV65",86361,"2017-05-18"
"Ozuna","Tu Foto","0Szp49tpFasIjX04Mcsydp",75887,"2017-05-18"
"Enrique Iglesias","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","7nKBxz47S9SD79N086fuhn",73209,"2017-05-18"
"Zion & Lennox","Otra vez (feat. J Balvin)","3QwBODjSEzelZyVjxPOHdq",72418,"2017-05-18"
"Pitbull","Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version","2Vdub5mY4lad7w64bFPUez",71403,"2017-05-18"
"CNCO, Yandel","Hey DJ","209gZgcfLq2aUuu51vOWBl",70790,"2017-05-18"
"Don Omar, Zion & Lennox","Te Quiero Pa´Mi","3BY2mafsbsoKGqS380Xnuz",69088,"2017-05-18"
"Daddy Yankee, Ozuna","La Rompe Corazones","4okba5wu9mMLXx79DXLKi3",67274,"2017-05-18"
"CNCO","Reggaetón Lento (Bailemos)","3AEZUABDXNtecAOSC1qTfo",61236,"2017-05-18"
"Mon Laferte, Juanes","Amárrame","0u13src3QcditRU5VPduML",61182,"2017-05-18"
"Piso 21","Me llamas (feat. Maluma) - Remix","5hEM0JchdVzQ5PwvSfITeX",57934,"2017-05-18"
"J Balvin, Bad Bunny","Si Tu Novio Te Deja Sola","0RFFFGtPn6a58RHY3ccVYX",56164,"2017-05-18"
"Bruno Mars","That's What I Like","0KKkJNfGyhkQ5aFogxQAPU",55448,"2017-05-18"
"Nacho","Báilame","7lRsNbdOGykkMAgsqs4R1C",54859,"2017-05-18"
"Ed Sheeran","Shape of You (feat. Zion & Lennox) - Latin Remix","5nCtCCB5i1OfbADvynNw0i",51221,"2017-05-18"
"Nicky Jam","Si Tú La Ves (feat. Wisin)","4yN6xPLopmTLvc27pO9LIE",51176,"2017-05-18"
"IAmChino, El Chacal","Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","6stYbAJgTszHAHZMPxWWCY",49617,"2017-05-18"
"The Weeknd, Daft Punk","I Feel It Coming","5GXAXm5YOmYT0kL5jHvYBt",49500,"2017-05-18"
"Anuel AA, Bad Bunny","La Última Vez","4J1e3hbf0e5YUZjkxyJWD3",48722,"2017-05-18"
"Shakira, Maluma","Chantaje","1WniHvhq9zTkny0WvGXX8o",47943,"2017-05-18"
"Xantos, Dynell","Bailame Despacio","4OaTpLJIa2harufGxfOPUu",47800,"2017-05-18"
"Wisin","Vacaciones","3dQDid3IUNhZy1OehIfYfE",46807,"2017-05-18"
"Sebastian Yatra, Nacho, Wisin","Alguien Robo","5i50gKdLAjjIr7UxRT5IVy",42982,"2017-05-18"
"J Balvin, Pharrell Williams, BIA, Sky","Safari","6rQSrBHf7HlZjtcMZ4S4bO",42645,"2017-05-18"
"Piso 21","Besándote","13X0XdLMOdtbXVtAj2ox4h",42137,"2017-05-18"
"Ricky Martin","Vente Pa' Ca (feat. Maluma)","7DM4BPaS7uofFul3ywMe46",41109,"2017-05-18"
"Mon Laferte","Tu Falta De Querer","4skuEIloXWuxxgekKupkEH",39863,"2017-05-18"
"Audioslave","Like a Stone","2xt2piJx6jlFkjS77YiqpL",39272,"2017-05-18"
"Ozuna","Dile Que Tu Me Quieres","20ZAJdsKB5IGbGj4ilRt2o",39015,"2017-05-18"
"DJ Snake, Justin Bieber","Let Me Love You","4pdPtRcBmOSQDlJ3Fk945m",38443,"2017-05-18"
"Clean Bandit","Rockabye (feat. Sean Paul & Anne-Marie)","5knuzwU65gJK7IF5yJsuaW",37728,"2017-05-18"
"Bruno Mars","24K Magic","6b8Be6ljOzmkOmFslEb23P",37059,"2017-05-18"
"Maluma","Borro Cassette","6DUdDIRgLqCGq1DwkNWQTN",36907,"2017-05-18"
"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","I'm the One","72Q0FQQo32KJloivv5xge2",36676,"2017-05-18"
"Farruko","Chillax (feat. Ky-Mani Marley)","1lxswgIpzV6HhENRvkflES",36319,"2017-05-18"
"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, BaRasta, Brytiago","Me Mata","2wgDAPgBhFA7pnIbm0YOhP",36147,"2017-05-18"
