"artist","song_name","song_id","streams","date"
"Los Legendarios, Wisin, Jhay Cortez","Fiel","7Bk0uXKk1uPT0XuQbpFzvs",349657,"2021-05-05"
"Sebastian Yatra, Myke Towers","Pareja Del Año","2rCbl9naJYhaxjLsfx88uM",342887,"2021-05-05"
"Nio Garcia, Flow La Movie","Am","2dNhNlpZAtV4lwAFW45LIv",317996,"2021-05-05"
"Sech","911","2p2Q23iaaPSEa1tI6TsCVX",230353,"2021-05-05"
"Myke Towers, Juhn","Bandido","1xK1Gg9SxG8fy2Ya373oqb",208494,"2021-05-05"
"KAROL G, Mariah Angeliq","EL MAKINON","2FSGUA0gFgGeQdprjtGM2M",186045,"2021-05-05"
"Bad Bunny, Jhay Cortez","DÁKITI","4MzXwWMhyBbmu6hOcLVD49",172855,"2021-05-05"
"Myke Towers","Explícito","6qraVL4IJaIj0IuEexYJNa",167619,"2021-05-05"
"Bad Bunny, ROSALÍA","LA NOCHE DE ANOCHE","2XIc1pqjXV3Cr2BQUGNBck",145119,"2021-05-05"
"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy","No Te Enamores - Remix","2mM3gZ0BbPwPPMelbA8vgt",143592,"2021-05-05"
"Boza","Hecha Pa' Mi","3VvA1wSxukMLsvXoXtlwWx",135302,"2021-05-05"
"Gera MX, Christian Nodal","Botella Tras Botella","2MnLkFqY9Rpg9s3Zv6ZJdK",133442,"2021-05-05"
"Rochy RD, Myke Towers, Nicki Nicole","Ella No Es Tuya - Remix","5YYW3yRktprLRr47WK219Y",133135,"2021-05-05"
"Selena Gomez","Baila Conmigo (with Rauw Alejandro)","079Ey5uxL04AKPQgVQwx5h",126459,"2021-05-05"
"Rauw Alejandro, Anuel AA","Reloj","4loQgPwJHocL3dFwLfjb1J",122712,"2021-05-05"
"El Futuro Fuera De Orbita, Harry Nach, La Nevula23 Productor","Juju Juju","1Ymx1Q7EXkxd7FwKypAQ6o",120624,"2021-05-05"
"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie","Travesuras - Remix","0VWLId2RwPCno9s1cJm2Vy",115447,"2021-05-05"
"Ak4:20","Skyline","3ymRYcYHxXMmyvCaKcJ46k",111823,"2021-05-05"
"Nicky Jam, Romeo Santos","Fan de Tus Fotos","1mauYRwbpoGQX6itP2FAJC",108024,"2021-05-05"
"Bad Bunny","TE MUDASTE","5RubKOuDoPn5Kj5TLVxSxY",105536,"2021-05-05"
"Manuel Turizo, Rauw Alejandro, Myke Towers","La Nota","5VzNsUnLmYcRfRfxpQsusa",103244,"2021-05-05"
