"artist","song_name","song_id","streams","date"
"Bad Bunny, Tainy","Callaita","2TH65lNHgvLxCKXM3apjxI",388326,"2019-07-13"
"Sech, Darell","Otro Trago","1Ej96GIBCTvgH7tNX1r3qr",366296,"2019-07-13"
"Lunay, Daddy Yankee, Bad Bunny","Soltera - Remix","1c0hsvHLELX6y8qymnpLKL",310660,"2019-07-13"
"Jhay Cortez, J Balvin, Bad Bunny","No Me Conoce - Remix","4R8BJggjosTswLxtkw8V7P",307857,"2019-07-13"
"J Balvin, Bad Bunny","LA CANCIÓN","0fea68AdmYNygeTGI4RC18",251223,"2019-07-13"
"Daddy Yankee, Wisin & Yandel","Si Supieras","7MRU4vOkywuhZ9kbFiPuiu",208690,"2019-07-13"
"J Balvin, Bad Bunny","QUE PRETENDES","25ZAibhr3bdlMCLmubZDVt",204252,"2019-07-13"
"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago","Verte Ir","4lzxJ4jCuFDXXGkE1LmpKR",182217,"2019-07-13"
"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön","Cuaderno","7anSoGdgtmJTAPZBzcPhO6",176317,"2019-07-13"
"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez","Pa Mí - Remix","7g8YaUQABMal0zWe7a2ijz",176139,"2019-07-13"
"Nicky Jam, Ozuna","Te Robaré","6v0lAdFF4haL8xjBIUjtOw",172953,"2019-07-13"
"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez","Que Mas Pues - Remix","7fODjB7BrQTGqh0hogW6XD",162248,"2019-07-13"
"Paulo Londra","Tal Vez","5jW3rF4URMdK7tO2xjS5EI",157588,"2019-07-13"
"ROSALÍA, J Balvin, El Guincho","Con Altura","2qG5sZ7Si6sdK74qLxedYM",143281,"2019-07-13"
"Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers","Runaway","7BuSE9uTIw931wtZYzvZcQ",126348,"2019-07-13"
"Daddy Yankee, Snow","Con Calma","5w9c2J52mkdntKOmRLeM2m",126262,"2019-07-13"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",123594,"2019-07-13"
"Paloma Mami","Fingías","7o0oY5wRcoV7oPuDhD2J1z",114469,"2019-07-13"
"Shawn Mendes, Camila Cabello","Señorita","0TK2YIli7K1leLovkQiNik",111145,"2019-07-13"
"Zion & Lennox, Anuel AA, Haze","Guayo","4MR1AZhe1p0zTuH2HGhX9L",110177,"2019-07-13"
"Guaynaa, Nicky Jam, Farruko, Becky G, Sech","Rebota - Remix","3dWpRjCmaHbroNahuSeX11",110102,"2019-07-13"
"Anuel AA, Haze","Amanece","1LiN0Z98FkR1t0m8KmLcAH",108629,"2019-07-13"
"Paulo Londra","Por Eso Vine","5qN1G8fSHq4Sv5FRoOkNGu",106957,"2019-07-13"
"J Balvin, Bad Bunny, Marciano Cantero","UN PESO","7hynhxDoDpgMIV12JuVtNa",105903,"2019-07-13"
"Myke Towers, Farruko","Si Se Da","5KbBGUpIZd6gVFUU8tqYiQ",104103,"2019-07-13"
"Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","0GmiGIxXDNrePrHBpijYDp",99989,"2019-07-13"
"Maluma","11 PM","7KbF6AdprOXEEHlsq11Z6d",96422,"2019-07-13"
"Cami","Aquí Estoy","6ydubKY1r75XKuQheIQB8f",88850,"2019-07-13"
"Paulo Londra","Adan y Eva","132ALUzVLmqYB4UsBj5qD6",87541,"2019-07-13"
"Pedro Capó, Farruko","Calma - Remix","5iwz1NiezX7WWjnCgY5TH4",84746,"2019-07-13"
"Paloma Mami","Don't Talk About Me","0cfqbF7GBQJMYg0S6GEqG4",83711,"2019-07-13"
"Dayvi, Victor Cardenas, Kelly Ruíz","Baila Conmigo (feat. Kelly Ruiz)","4Clmg1g8n2yBYG13Z1oSdG",83693,"2019-07-13"
"Paloma Mami","No Te Enamores","0EJu1RBtxzldMG2peczuPv",82474,"2019-07-13"
