"artist","song_name","song_id","streams","date"
"Paloma Mami","Fingías","7o0oY5wRcoV7oPuDhD2J1z",423789,"2019-04-04"
"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago","Verte Ir","4lzxJ4jCuFDXXGkE1LmpKR",295762,"2019-04-04"
"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez","Pa Mí - Remix","224EVTFiLsdQignUFLvDeH",271009,"2019-04-04"
"Daddy Yankee, Snow","Con Calma","5w9c2J52mkdntKOmRLeM2m",268735,"2019-04-04"
"Anuel AA, KAROL G","Secreto","5W83ErFkO3aKAIS1WMi6u0",233424,"2019-04-04"
"Paloma Mami","No Te Enamores","0EJu1RBtxzldMG2peczuPv",218464,"2019-04-04"
"Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","0GmiGIxXDNrePrHBpijYDp",199958,"2019-04-04"
"Anuel AA, Haze","Amanece","1LiN0Z98FkR1t0m8KmLcAH",196932,"2019-04-04"
"Nicky Jam, Ozuna","Te Robaré","6v0lAdFF4haL8xjBIUjtOw",187886,"2019-04-04"
"Myke Towers, Farruko","Si Se Da","5KbBGUpIZd6gVFUU8tqYiQ",175864,"2019-04-04"
"Paloma Mami","Not Steady","42ArfZUgGo3k5btIHp08it",165448,"2019-04-04"
"Paulo Londra","Adan y Eva","6FyRXC8tJUh863JCkyWqtk",156125,"2019-04-04"
"Ozuna","Baila Baila Baila","7uH27oIt4a6cIFCA8ZPcyG",154871,"2019-04-04"
"Paulo Londra","Tal Vez","46lvmzK8wxAy66tjzXXSh0",152453,"2019-04-04"
"Pedro Capó, Farruko","Calma - Remix","5iwz1NiezX7WWjnCgY5TH4",146589,"2019-04-04"
"Daddy Yankee, Anuel AA","Adictiva","6MJUCumnQsQEKbCy28tbCP",135464,"2019-04-04"
"Mau y Ricky, Manuel Turizo, Camilo","Desconocidos","0s5DNDV6LAKn2u2Ufa3VjQ",134859,"2019-04-04"
"Sebastian Yatra, Reik","Un Año","5BDP2tky8oMQJPS33frKVp",134515,"2019-04-04"
"Manuel Turizo, Ozuna","Esclavo de Tus Besos","3g4UyIcQwutiG0TfW32GnX",130296,"2019-04-04"
"Bad Bunny","Si Estuviésemos Juntos","35wvL50xvKpCHEJPxLOLPI",127866,"2019-04-04"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",125228,"2019-04-04"
"Maluma","HP","31UjYv5vLsDkzchJOtUMtW",122644,"2019-04-04"
"Bad Bunny, El Alfa","La Romana","1khmgu0pveJbkbpbkyvcQv",118970,"2019-04-04"
"Bad Bunny","MIA (feat. Drake)","116H0KvKr2Zl4RPuVBruDO",114685,"2019-04-04"
"Rauw Alejandro, Nicky Jam","Que Le De","08aYFNUTIOMGq93e2VSArQ",111566,"2019-04-04"
"Polimá Westcoast, Pablo Chill-E","MY BLOOD","2hMemEDS1l5hrjLWwU1MNt",110229,"2019-04-04"
"Piso 21, Micro TDH","Te Vi","059bcIhyc2SBwm6sw2AZzd",108827,"2019-04-04"
"Wisin & Yandel, Romeo Santos","Aullando","7BuHdm4lQqcyG3qTwdkxus",103681,"2019-04-04"
"Anuel AA, Romeo Santos","Ella Quiere Beber - Remix","3f5lA8nnc4YYF1qf78WpHw",100353,"2019-04-04"
"Wisin & Yandel","Reggaetón en lo Oscuro","7LLXLd0pisbEAdIVK502VM",95794,"2019-04-04"
"Bad Bunny","Solo de Mi","4uP3pUP18ennmz0tb3GphR",94153,"2019-04-04"
"ROSALÍA, J Balvin, El Guincho","Con Altura","2qG5sZ7Si6sdK74qLxedYM",91378,"2019-04-04"
"Ceaese, Utopiko, DrefQuila, THAT","Damelo","6OPl2rRpNsW1BZmtrSxP6X",90377,"2019-04-04"
"Luis Fonsi, Ozuna","Imposible","4cuGZb0iFyHtwaSKdKrJkF",89552,"2019-04-04"
"Ceaese, Utopiko, Polimá Westcoast, Young Cister","Te Quiero Ver","6Xfz4YNwwIcFRyfW3QQZVp",88236,"2019-04-04"
"Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose","A Solas - Remix","3T5QSIgoaPIh07SwixRDp7",87750,"2019-04-04"
"Becky G, Paulo Londra","Cuando Te Besé","2XXMDz7SPZ4mSFN1PXfHUy",86735,"2019-04-04"
"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA","Bubalu","7dNwJbsT0sg1le5kVugGJb",84523,"2019-04-04"
"ChocQuibTown, Zion & Lennox, Farruko","Pa Olvidarte (feat. Manuel Turizo) - Remix","2ktoFujjJtantyMoVdBJlX",83959,"2019-04-04"
"Bad Bunny","Caro","6it15CsDlkqB7N4lF0C1qM",83736,"2019-04-04"
"Lunay, Chris Jedi, GaMusic","Soltera","4T4CZ3Q4z3GG7lU720YYhM",82164,"2019-04-04"
"J Balvin","Reggaeton","2D3z17LBMJ2HEHeBFFjTLi",78197,"2019-04-04"
"Pablo Chill-E","ShiShi Gang","0JByBLr2rARkPItvumXiJP",77488,"2019-04-04"
"Sebastian Yatra","Cristina","1Kjer1JoWuJGNwGV6Pbgv1",76701,"2019-04-04"
"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone","Ta To Gucci (Remix)","7kuRvjpeUcn6qNV9IBXC2C",75290,"2019-04-04"
"Bad Bunny","NI BIEN NI MAL","278kSqsZIiYp8p3QjYAqa8",73596,"2019-04-04"
"Brytiago","Aprendi a Amar","7M8K2ermHPnLJildw6F6EP",72790,"2019-04-04"
"KAROL G, Anuel AA","Culpables","6q8Lb50EtqNeeJXXe8mMAH",71541,"2019-04-04"
"Anuel AA, Zion","Hipócrita","4CbANooTL2aTHzJZqQ0Uvk",66363,"2019-04-04"
"Pablo Chill-E, El Futuro Fuera De Orbita","Flyte","3YqTzC9YYQmiT5nDZgl01q",66341,"2019-04-04"
"KAROL G, Maluma","Créeme","1mT47pKLXUwPYGwB91GcNz",65181,"2019-04-04"
"Amenazzy, Nicky Jam, Farruko","Baby","2IA8cFA46DkjgbsRG7kKbp",65177,"2019-04-04"
"6ix9ine, Anuel AA","BEBE","4KkUjFkcQvGvWekl8RATDn",63242,"2019-04-04"
"Lunay, Zion & Lennox","Llégale","4vK8Kvyw1mabkMXJqbZOZT",62480,"2019-04-04"
"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA","Asesina - Remix","59PYgzOiOjGDzjDT5N5oOX",61634,"2019-04-04"
"DrefQuila","Exhibicionista","7zrl664JsRglDmTlbCovAg",60957,"2019-04-04"
"Brytiago, Anuel AA","Controla","4AKWHLChPxYdXAB2cHmZB7",60144,"2019-04-04"
"Sean Paul, J Balvin","Contra La Pared","3JjaofJ0lCeEsFSZqppzOp",59518,"2019-04-04"
"Lary Over, Lirico En La Casa","Subete","6CWMm2mJOrKyDH4W1X5d06",58470,"2019-04-04"
"DrefQuila","A fuego","5gkSbR9E0jDgv65XeT5v5R",58456,"2019-04-04"
"Ozuna, Manuel Turizo","Vaina Loca","48zFZh27QU5qsrBjn4C2FA",58251,"2019-04-04"
"DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4w8niZpiMy6qz1mntFA5uM",58092,"2019-04-04"
"Kevin Roldan, Zion & Lennox, DJ Maff","PPP - Remix","3jOn1ZdPldABfKQY4JBhov",57834,"2019-04-04"
"Sebastian Yatra, Mau y Ricky","Ya No Tiene Novio","7uQmJ1jgNzBpATSoWKSPFu",57471,"2019-04-04"
"Santaferia","Algún Día Volveras","27uAea0qcUz3a7jKnAT7KG",56379,"2019-04-04"
"Paulo Londra","Forever Alone","5NPzbTzFxIQPaheZuPhn4f",56063,"2019-04-04"
"Cami","Querida Rosa","6wBrZZ1LyiBxytLnpgnlhf",55621,"2019-04-04"
"Neo Pistea, Obie Wanshot","Tumbando el Club (feat. C.R.O, Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix","0OWcpVA83HI8Pb5DybDuoX",54774,"2019-04-04"
"Billie Eilish","bad guy","2Fxmhks0bxGSBdJ92vM42m",53716,"2019-04-04"
"The Rudeboyz, Jowell & Randy, Manuel Turizo","Dile la Verdad","6qP73DRFGojLuIk1siIhNE",51836,"2019-04-04"
"Piso 21","Puntos Suspensivos","04cd1MHVq1D8v1nuTZoCdv",51432,"2019-04-04"
"Super Yei, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön","La Forma en Que Me Miras","6t94PGXYAuo9GbJEnMpPcW",50958,"2019-04-04"
"Santaferia","El Gil de Tu Ex","3cUE3p7E39CzGjQoEsg7sM",50956,"2019-04-04"
"Miky Woodz, Alex Rose","Na' Personal","16fZpc0Md2q1SGu8FMTo6x",50920,"2019-04-04"
"Manuel Turizo","Sola","675w3ACw5xZR3ODhUJlEVN",49535,"2019-04-04"
"Danny Ocean","Swing","4DbhxwlkhTbCTqlZptxmI6",49336,"2019-04-04"
"Bryant Myers","Tanta Falta","0sPTfDSZgE3KvcvqaKPtEx",49145,"2019-04-04"
"Miky Woodz","No Siento Nada","3lsGx2tJnbeGeR1U3xYZGS",48733,"2019-04-04"
"Zion & Lennox","La player (Bandolera)","0VKkyBKCXyR99navhVRqcP",48722,"2019-04-04"
"Duki","Sin Culpa (feat. DrefQuila)","3dLiBBKbeUIhzGNeuo5JGS",48559,"2019-04-04"
"Farruko","Nadie","2VRVV7cvAGPJ2EBU4FIVCz",46906,"2019-04-04"
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam","Te Boté - Remix","3V8UKqhEK5zBkBb6d6ub8i",46145,"2019-04-04"
"Kevin Roldan","PPP","1DcxnVNFAyVl2sDQ646pXS",45790,"2019-04-04"
"Reik, Maluma","Amigos Con Derechos","2zDj4WjbNDmrRL6Z4YjjCA",45724,"2019-04-04"
"Bad Bunny","Otra Noche en Miami","4vCAzANUWDE24URV6wQ4ra",45088,"2019-04-04"
