"artist","song_name","song_id","streams","date"
"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","2ksOAxtIxY8yElEWw8RhgK",373560,"2019-09-05"
"Tainy","Adicto (with Anuel AA & Ozuna)","3jbT1Y5MoPwEIpZndDDwVq",295536,"2019-09-05"
"Jhay Cortez, J Balvin, Bad Bunny","No Me Conoce - Remix","4R8BJggjosTswLxtkw8V7P",277346,"2019-09-05"
"Bad Bunny, Tainy","Callaita","2TH65lNHgvLxCKXM3apjxI",253061,"2019-09-05"
"J Balvin, Bad Bunny","LA CANCIÓN","0fea68AdmYNygeTGI4RC18",249634,"2019-09-05"
"Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix","4bTZeO72FwMa6wKOiqoynL",232212,"2019-09-05"
"Myke Towers, Farruko, Arcangel, Sech, Zion","Si Se Da - Remix","6K5BsR04ijf3FHNzjbaagD",217414,"2019-09-05"
"Lunay, Daddy Yankee, Bad Bunny","Soltera (Remix)","2qMnZF5Ja2WvmfbblByQza",202786,"2019-09-05"
"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi","7BlBVFwvbWvcwNcUarQmjk",189196,"2019-09-05"
"Camilo, Pedro Capó","Tutu","1nocRtwyNPVtGcIJqfgdzZ",184115,"2019-09-05"
"J Balvin, Bad Bunny","QUE PRETENDES","25ZAibhr3bdlMCLmubZDVt",170300,"2019-09-05"
"Daddy Yankee, Wisin & Yandel","Si Supieras","7MRU4vOkywuhZ9kbFiPuiu",163279,"2019-09-05"
"Dímelo Flow","El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","684EjRHwNsZQ9hCQxL4NYL",155780,"2019-09-05"
"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago","Verte Ir","4lzxJ4jCuFDXXGkE1LmpKR",148462,"2019-09-05"
"Noriel, Myke Towers, Rauw Alejandro, Almighty","Cuerpo en Venta","2B94bbI1a4LyBpK1439oP7",142843,"2019-09-05"
"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön","Cuaderno","7anSoGdgtmJTAPZBzcPhO6",139101,"2019-09-05"
"ROSALÍA, J Balvin, El Guincho","Con Altura","2qG5sZ7Si6sdK74qLxedYM",133155,"2019-09-05"
"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez","Pa Mí - Remix","7g8YaUQABMal0zWe7a2ijz",129557,"2019-09-05"
"Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell","Mírame - Remix","53uKGbcMjEc2gIWbfmvpdS",124009,"2019-09-05"
"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez","Que Mas Pues - Remix","7fODjB7BrQTGqh0hogW6XD",119401,"2019-09-05"
"Shawn Mendes, Camila Cabello","Señorita","6v3KW9xbzN5yKLt9YKDYA2",113453,"2019-09-05"
"Nicky Jam, Ozuna","Te Robaré","6v0lAdFF4haL8xjBIUjtOw",105687,"2019-09-05"
"Nicky Jam, Sech","Atrévete","3KekO5WUfJsh7kYU9o2w50",104046,"2019-09-05"
"Sech, Darell","Otro Trago","1Ej96GIBCTvgH7tNX1r3qr",102728,"2019-09-05"
"Paulo Londra","Tal Vez","5jW3rF4URMdK7tO2xjS5EI",102266,"2019-09-05"
"Residente, Bad Bunny","Bellacoso","1kMUGCt7XLDc5Q64Vl0H8S",100947,"2019-09-05"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",98766,"2019-09-05"
"Maluma","11 PM","7KbF6AdprOXEEHlsq11Z6d",98053,"2019-09-05"
"Duki","Goteo","1EoEU4HY57qaITp06TkC6B",97119,"2019-09-05"
"Dayvi, Victor Cardenas, Kelly Ruíz","Baila Conmigo (feat. Kelly Ruiz)","4Clmg1g8n2yBYG13Z1oSdG",96770,"2019-09-05"
"Manuel Turizo, Anuel AA","Te Quemaste","4fj7e6Tc48Bmomwyz2Z2XC",93592,"2019-09-05"
"Bizarrap, Nicki Nicole","Nicki Nicole: Bzrp Music Sessions, Vol. 13","2S93hylQBYLndMnaJuso8S",91343,"2019-09-05"
"Anuel AA, Haze","Amanece","1LiN0Z98FkR1t0m8KmLcAH",90127,"2019-09-05"
"Zion & Lennox, Anuel AA, Haze","Guayo","4MR1AZhe1p0zTuH2HGhX9L",89993,"2019-09-05"
