"artist","song_name","song_id","streams","date"
"Daddy Yankee, Snow","Con Calma","5w9c2J52mkdntKOmRLeM2m",299931,"2019-03-11"
"Anuel AA, KAROL G","Secreto","5W83ErFkO3aKAIS1WMi6u0",267577,"2019-03-11"
"Anuel AA, Haze","Amanece","1LiN0Z98FkR1t0m8KmLcAH",228485,"2019-03-11"
"Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","0GmiGIxXDNrePrHBpijYDp",193289,"2019-03-11"
"Paloma Mami","No Te Enamores","0EJu1RBtxzldMG2peczuPv",188918,"2019-03-11"
"Pedro Capó, Farruko","Calma - Remix","5iwz1NiezX7WWjnCgY5TH4",183259,"2019-03-11"
"Paulo Londra","Adan y Eva","6FyRXC8tJUh863JCkyWqtk",173454,"2019-03-11"
"Ozuna","Baila Baila Baila","7uH27oIt4a6cIFCA8ZPcyG",167582,"2019-03-11"
"Myke Towers, Farruko","Si Se Da","5KbBGUpIZd6gVFUU8tqYiQ",166287,"2019-03-11"
"Daddy Yankee, Anuel AA","Adictiva","6MJUCumnQsQEKbCy28tbCP",158421,"2019-03-11"
"Sebastian Yatra, Reik","Un Año","5BDP2tky8oMQJPS33frKVp",154871,"2019-03-11"
"Mau y Ricky, Manuel Turizo, Camilo","Desconocidos","0s5DNDV6LAKn2u2Ufa3VjQ",151164,"2019-03-11"
"Bad Bunny","Solo de Mi","4uP3pUP18ennmz0tb3GphR",149059,"2019-03-11"
"Bad Bunny","MIA (feat. Drake)","116H0KvKr2Zl4RPuVBruDO",147188,"2019-03-11"
"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez","Pa Mí - Remix","224EVTFiLsdQignUFLvDeH",145438,"2019-03-11"
"Bad Bunny, El Alfa","La Romana","1khmgu0pveJbkbpbkyvcQv",133746,"2019-03-11"
"Paloma Mami","Not Steady","42ArfZUgGo3k5btIHp08it",132366,"2019-03-11"
"Bad Bunny","Si Estuviésemos Juntos","35wvL50xvKpCHEJPxLOLPI",129312,"2019-03-11"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",122396,"2019-03-11"
"Bad Bunny","NI BIEN NI MAL","278kSqsZIiYp8p3QjYAqa8",120703,"2019-03-11"
"Anuel AA, Romeo Santos","Ella Quiere Beber - Remix","3f5lA8nnc4YYF1qf78WpHw",113911,"2019-03-11"
"Bad Bunny","Caro","6it15CsDlkqB7N4lF0C1qM",113388,"2019-03-11"
