"artist","song_name","song_id","streams","date"
"Pedro Capó, Farruko","Calma - Remix","5iwz1NiezX7WWjnCgY5TH4",311712,"2019-02-02"
"Anuel AA, KAROL G","Secreto","5W83ErFkO3aKAIS1WMi6u0",311417,"2019-02-02"
"Anuel AA, Haze","Amanece","1LiN0Z98FkR1t0m8KmLcAH",305718,"2019-02-02"
"Paloma Mami","No Te Enamores","0EJu1RBtxzldMG2peczuPv",281878,"2019-02-02"
"Paulo Londra","Adan y Eva","6FyRXC8tJUh863JCkyWqtk",265492,"2019-02-02"
"Daddy Yankee, Snow","Con Calma","5w9c2J52mkdntKOmRLeM2m",238928,"2019-02-02"
"Daddy Yankee, Anuel AA","Adictiva","6MJUCumnQsQEKbCy28tbCP",213980,"2019-02-02"
"Bad Bunny","MIA (feat. Drake)","116H0KvKr2Zl4RPuVBruDO",202914,"2019-02-02"
"Paloma Mami","Not Steady","42ArfZUgGo3k5btIHp08it",200271,"2019-02-02"
"Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","0GmiGIxXDNrePrHBpijYDp",193282,"2019-02-02"
"Mau y Ricky, Manuel Turizo, Camilo","Desconocidos","0s5DNDV6LAKn2u2Ufa3VjQ",185198,"2019-02-02"
"Ozuna","Baila Baila Baila","7uH27oIt4a6cIFCA8ZPcyG",169120,"2019-02-02"
"Luis Fonsi, Ozuna","Imposible","4cuGZb0iFyHtwaSKdKrJkF",166937,"2019-02-02"
"DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4w8niZpiMy6qz1mntFA5uM",149296,"2019-02-02"
"Anuel AA, Romeo Santos","Ella Quiere Beber - Remix","2cYnZNzFRFK0H7vSNxPsUq",134133,"2019-02-02"
"Becky G, Paulo Londra","Cuando Te Besé","2XXMDz7SPZ4mSFN1PXfHUy",128108,"2019-02-02"
"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA","Bubalu","7dNwJbsT0sg1le5kVugGJb",124157,"2019-02-02"
"J Balvin","Reggaeton","2D3z17LBMJ2HEHeBFFjTLi",123872,"2019-02-02"
"Wisin & Yandel","Reggaetón en lo Oscuro","7LLXLd0pisbEAdIVK502VM",120516,"2019-02-02"
"Sebastian Yatra, Mau y Ricky","Ya No Tiene Novio","7uQmJ1jgNzBpATSoWKSPFu",114697,"2019-02-02"
"6ix9ine, Anuel AA","BEBE","4KkUjFkcQvGvWekl8RATDn",112760,"2019-02-02"
"Bad Bunny","Solo de Mi","4uP3pUP18ennmz0tb3GphR",112203,"2019-02-02"
"Tommy Boysen","Hookah & Sheridan s","3QfD4bxxkopZL7XZ8RaezH",111969,"2019-02-02"
"KAROL G, Anuel AA","Culpables","6q8Lb50EtqNeeJXXe8mMAH",110591,"2019-02-02"
"Anuel AA, Zion","Hipócrita","6XBjCetHKdO5L9cwMDVffw",105105,"2019-02-02"
"Piso 21, Micro TDH","Te Vi","059bcIhyc2SBwm6sw2AZzd",103813,"2019-02-02"
"Lunay, Lyanno, Anuel AA, Brytiago, Alex Rose","A Solas - Remix","3T5QSIgoaPIh07SwixRDp7",100470,"2019-02-02"
"Ozuna, Manuel Turizo","Vaina Loca","48zFZh27QU5qsrBjn4C2FA",99830,"2019-02-02"
"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA","Asesina - Remix","59PYgzOiOjGDzjDT5N5oOX",95125,"2019-02-02"
"Piso 21","Puntos Suspensivos","04cd1MHVq1D8v1nuTZoCdv",92409,"2019-02-02"
"Kevin Roldan","PPP","1DcxnVNFAyVl2sDQ646pXS",88457,"2019-02-02"
"Bad Bunny","NI BIEN NI MAL","278kSqsZIiYp8p3QjYAqa8",87986,"2019-02-02"
"Bryant Myers","Tanta Falta","0sPTfDSZgE3KvcvqaKPtEx",85495,"2019-02-02"
"Lary Over, Lirico En La Casa","Subete","6CWMm2mJOrKyDH4W1X5d06",81995,"2019-02-02"
"Santaferia","El Gil de Tu Ex","3cUE3p7E39CzGjQoEsg7sM",80266,"2019-02-02"
"KAROL G, Maluma","Créeme","1mT47pKLXUwPYGwB91GcNz",79961,"2019-02-02"
"Reik, Maluma","Amigos Con Derechos","2zDj4WjbNDmrRL6Z4YjjCA",79907,"2019-02-02"
"Amenazzy, Nicky Jam, Farruko","Baby","2IA8cFA46DkjgbsRG7kKbp",79583,"2019-02-02"
"Kevin Roldan, Zion & Lennox, DJ Maff","PPP - Remix","3jOn1ZdPldABfKQY4JBhov",78006,"2019-02-02"
"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone","Ta To Gucci (Remix)","7kuRvjpeUcn6qNV9IBXC2C",76329,"2019-02-02"
"Ariana Grande","7 rings","14msK75pk3pA33pzPVNtBF",75297,"2019-02-02"
"Santaferia","Algún Día Volveras","27uAea0qcUz3a7jKnAT7KG",74411,"2019-02-02"
"The Rudeboyz, Jowell & Randy, Manuel Turizo","Dile la Verdad","6qP73DRFGojLuIk1siIhNE",73716,"2019-02-02"
