"artist","song_name","song_id","streams","date"
"Bad Bunny, Jhay Cortez","DÁKITI","4MzXwWMhyBbmu6hOcLVD49",516141,"2020-12-15"
"KAROL G","BICHOTA","7vrJn5hDSXRmdXoR30KgF1",355093,"2020-12-15"
"Bad Bunny, ROSALÍA","LA NOCHE DE ANOCHE","2XIc1pqjXV3Cr2BQUGNBck",349813,"2020-12-15"
"Bad Bunny","TE MUDASTE","5RubKOuDoPn5Kj5TLVxSxY",267264,"2020-12-15"
"Rauw Alejandro, Anuel AA","Reloj","4loQgPwJHocL3dFwLfjb1J",265593,"2020-12-15"
"Manuel Turizo, Rauw Alejandro, Myke Towers","La Nota","7ndTONDDRFGiPnnhOzOXxq",247688,"2020-12-15"
"Ozuna, J Balvin, Chencho Corleone","Una Locura","5y7DaS3jAc9eZzcSOoUIwU",233030,"2020-12-15"
"Boza","Hecha Pa' Mi","3VvA1wSxukMLsvXoXtlwWx",223745,"2020-12-15"
"Maluma","Hawái","1yoMvmasuxZfqHEipJhRbp",220183,"2020-12-15"
"Farruko","La Tóxica","15OjBeqNX3bShsGYQbteRv",215887,"2020-12-15"
"Justin Quiles","Jeans","3GtnId3Cm1Xa6joCj08nzW",213002,"2020-12-15"
"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","Relación - Remix","35UUpTmrcFXNIVIN26ujXl",195236,"2020-12-15"
"Nicky Jam, Myke Towers","Polvo","68mrW6gXHgupgSiDHgaDi5",193353,"2020-12-15"
"Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","4HYDUMY0xSpeBr0AMY9cUz",191814,"2020-12-15"
"Sebastian Yatra, Guaynaa","Chica Ideal","21N4Buj4xsyLb218lYle61",191645,"2020-12-15"
"Wisin, Myke Towers, Los Legendarios","Mi Niña","2bgcUk2A3jjKbCJ7KPquTi",180841,"2020-12-15"
"Camilo","Vida de Rico","73nAK3HgQK8dak83Y2WQ8F",165515,"2020-12-15"
"KAROL G","Ay, DiOs Mío!","7x4ASXYEKfQBCewcZhK776",163449,"2020-12-15"
"Camilo, El Alfa","BEBÉ","7D7EH7MGyNHWSkqrszerI1",148228,"2020-12-15"
