"artist","song_name","song_id","streams","date"
"Maluma","Hawái","1yoMvmasuxZfqHEipJhRbp",378667,"2020-10-10"
"Ozuna, J Balvin, Chencho Corleone","Una Locura","5y7DaS3jAc9eZzcSOoUIwU",293511,"2020-10-10"
"Farruko","La Tóxica","15OjBeqNX3bShsGYQbteRv",286228,"2020-10-10"
"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","Relación - Remix","35UUpTmrcFXNIVIN26ujXl",278235,"2020-10-10"
"Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","4HYDUMY0xSpeBr0AMY9cUz",265317,"2020-10-10"
"KAROL G","Ay, DiOs Mío!","7x4ASXYEKfQBCewcZhK776",244954,"2020-10-10"
"Justin Quiles","Jeans","3GtnId3Cm1Xa6joCj08nzW",230894,"2020-10-10"
"Rauw Alejandro","Tattoo - Remix with Camilo","4ZRrLHqzhGRXYj2qcB4s5S",205205,"2020-10-10"
"Camilo","Vida de Rico","73nAK3HgQK8dak83Y2WQ8F",201374,"2020-10-10"
"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka","La Jeepeta - Remix","6bvfJf4KjonPMuPfGfy3S2",201194,"2020-10-10"
"Ozuna, Camilo","Despeinada","0JAZWvvqttGFm4UMDsPQXC",189450,"2020-10-10"
"Jerry Di","Mi Cuarto","6fmQjRuo7XvRFCK2qex5hQ",183579,"2020-10-10"
"Ozuna","Caramelo","5Jm4w8jmPEBTLjI9vH4fXo",173960,"2020-10-10"
"J Balvin, Dua Lipa, Bad Bunny","UN DIA (ONE DAY) (Feat. Tainy)","0EhpEsp4L0oRGM0vmeaN5e",173617,"2020-10-10"
"Daddy Yankee, Anuel AA, Kendo Kaponi","Don Don","3kml9ZdpT7UYk1ugkjqOzt",158001,"2020-10-10"
"Wisin, Myke Towers, Los Legendarios","Mi Niña","2bgcUk2A3jjKbCJ7KPquTi",147372,"2020-10-10"
"Jhay Cortez, Bad Bunny","CÓMO SE SIENTE - Remix","2tFwfmceQa1Y6nRPhYbEtC",139715,"2020-10-10"
"Tainy","Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie","1pqnQ41XbfKjaFu6M0eGJp",133722,"2020-10-10"
"Anuel AA, Bad Bunny","Hasta Que Dios Diga","06s3QtMJVXw1AJX3UfvZG1",128457,"2020-10-10"
"Ozuna, KAROL G, Myke Towers","Caramelo - Remix","67jvGGbJmOmVonlyX3mNkV",122866,"2020-10-10"
"Lele Pons","Se Te Nota (with Guaynaa)","11EnQRgRMJwMAesfkB5pnu",120586,"2020-10-10"
"Maluma","Madrid (feat. Myke Towers)","19OXtYzrJyCrQvTbfukt4H",113771,"2020-10-10"
"Anuel AA","Reggaetonera","6yVkakCN460KOVol9ZazjH",113659,"2020-10-10"
"J Balvin","Rojo","380HmhwTE2NJgawn1NwkXi",112821,"2020-10-10"
"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","El Efecto - Remix","74j34STf8L6uADnTN69ohv",111414,"2020-10-10"
"Camilo","Favorito","0jT8Nl0shPS8115is0wD2Q",107961,"2020-10-10"
"J Balvin","Azul","2lCkncy6bIB0LTMT7kvrD1",104856,"2020-10-10"
"Jowell & Randy, J Balvin","Anaranjado","0cRgJuB6TRtb5RZ2HkjSLh",104665,"2020-10-10"
"Dalex","+Linda","5cBrOhKDyiJF9bPGUHKkG0",103880,"2020-10-10"
"Harry Nach","Tak Tiki Tak","7gwwt1IaAWwmB7af0AcuBM",103797,"2020-10-10"
"Maluma, Lenny Tavárez","Parce (feat. Justin Quiles)","4RJz8NfIe09gpKMiRUWKhJ",102851,"2020-10-10"
"Aya Nakamura","Djadja (feat. Maluma) - Remix","13vDU8nPsvTGEVTMB8Vw7g",102484,"2020-10-10"
"Manuel Turizo, Rauw Alejandro, Myke Towers","La Nota","7ndTONDDRFGiPnnhOzOXxq",98874,"2020-10-10"
"Yandel, Rauw Alejandro","Dembow 2020","0j1VxrPkMyFGvz0jZzxUoZ",98232,"2020-10-10"
