"artist","song_name","song_id","streams","date"
"Bad Bunny, Jowell & Randy, Ñengo Flow","Safaera","2DEZmgHKAvm41k4J3R2E9Y",285824,"2020-04-05"
"Bad Bunny","Yo Perreo Sola","0SqqAgdovOE24BzxIClpjw",225282,"2020-04-05"
"Bad Bunny","La Difícil","6NfrH0ANGmgBXyxgV2PeXt",208711,"2020-04-05"
"Bad Bunny, Sech","Ignorantes","38RIEav39FGi86jppxO0du",196341,"2020-04-05"
"Bad Bunny, Daddy Yankee","La Santa","69vlMrzHwATKzupwNcUPyK",160690,"2020-04-05"
"Dímelo Flow, Arcangel, Sech","Sigues Con El","7sQKy5vlPQllr0k9IjYJv3",152298,"2020-04-05"
"Bad Bunny","Si Veo a Tu Mamá","41wtwzCZkXwpnakmwJ239F",152107,"2020-04-05"
"Rauw Alejandro","Tattoo","7na7Bk98usp84FaOJFPv3d",139758,"2020-04-05"
"KAROL G, Nicki Minaj","Tusa","7k4t7uLgtOxPwTpFmtJNTY",137915,"2020-04-05"
"Bad Bunny","Vete","2n7ohqg1s68ToAHh4u9mcW",132573,"2020-04-05"
"Rauw Alejandro, Dalex, Lenny Tavárez","Elegí (feat. Dímelo Flow)","50ZC4PM7hywH27RcCfViau",132092,"2020-04-05"
"Myke Towers","Diosa","3JHpk0DOTOzyh0777JFAky",131870,"2020-04-05"
"Bad Bunny","A Tu Merced","4r9jkMEnArtWGH2rL2FZl0",129339,"2020-04-05"
"J Balvin","Rojo","380HmhwTE2NJgawn1NwkXi",128013,"2020-04-05"
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","5stPVcRqb4qixbafP9e8lt",126855,"2020-04-05"
"Anuel AA","Keii","5eEQCfq7MXQr6aHLNRUZLs",103584,"2020-04-05"
"Bad Bunny, Duki, Pablo Chill-E","Hablamos Mañana","1V8XneTrX6kKeoxYbk4x6h",100973,"2020-04-05"
"Feid, Justin Quiles","PORFA","3iQOfefMGDVDwo8dZoco8T",100962,"2020-04-05"
"Alex Rose, Rafa Pabön","Jangueo","5m3jpKkgkfoMcym1qjToFg",100203,"2020-04-05"
"Myke Towers","Girl","43NqTeL8pgBxKHPMiJKUP5",96453,"2020-04-05"
"Tones And I","Dance Monkey","1rgnBhdG2JDFTbYkYRZAku",93927,"2020-04-05"
"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro","La Cama - Remix","2tGENA8xef0wABdHvyXwv9",83882,"2020-04-05"
"J Balvin","Amarillo","6zEgnpM0qYmHLDnh8WPejL",83166,"2020-04-05"
"J Balvin","Morado","35KmOEIUqAGn02t7n4qaIr",83058,"2020-04-05"
"Dua Lipa","Don't Start Now","3PfIrDoz19wz7qK7tYeu62",79942,"2020-04-05"
"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay","Fantasias - Remix","0A37XY67wSdGqkGjtfW6aV",79554,"2020-04-05"
"The Weeknd","Blinding Lights","0VjIjW4GlUZAMYd2vXMi3b",78507,"2020-04-05"
"Bad Bunny","Pero Ya No","75pQqzwgCjUOSSy5CpmAjy",77587,"2020-04-05"
"KAROL G, Anuel AA","Follow","2w1rq80FIrbxeJy9WYURxw",76837,"2020-04-05"
"Bad Bunny, Yaviah","Bichiyal","4j4w4CXm6BSr0s25wAWrrX",76533,"2020-04-05"
"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles","Bellaquita - Remix","4GGwM2Krtlx9G9ii1RaEOx",76465,"2020-04-05"
"Tainy","Adicto (with Anuel AA & Ozuna)","3jbT1Y5MoPwEIpZndDDwVq",73486,"2020-04-05"
"Lunay, Ozuna, Anuel AA","Aventura","37zdqI4r1gswIzczSBkRon",70997,"2020-04-05"
