"artist","song_name","song_id","streams","date"
"Bad Bunny","La Difícil","6NfrH0ANGmgBXyxgV2PeXt",553194,"2020-03-06"
"Bad Bunny, Sech","Ignorantes","38RIEav39FGi86jppxO0du",502065,"2020-03-06"
"Bad Bunny, Daddy Yankee","La Santa","69vlMrzHwATKzupwNcUPyK",478352,"2020-03-06"
"Bad Bunny, Jowell & Randy, Ñengo Flow","Safaera","2DEZmgHKAvm41k4J3R2E9Y",391983,"2020-03-06"
"Bad Bunny","Si Veo a Tu Mamá","41wtwzCZkXwpnakmwJ239F",383543,"2020-03-06"
"Bad Bunny","Vete","2n7ohqg1s68ToAHh4u9mcW",334525,"2020-03-06"
"Bad Bunny, Duki, Pablo Chill-E","Hablamos Mañana","1V8XneTrX6kKeoxYbk4x6h",329998,"2020-03-06"
"Bad Bunny","Yo Perreo Sola","0SqqAgdovOE24BzxIClpjw",318674,"2020-03-06"
"KAROL G, Nicki Minaj","Tusa","7k4t7uLgtOxPwTpFmtJNTY",282932,"2020-03-06"
"Dímelo Flow, Arcangel, Sech","Sigues Con El","7sQKy5vlPQllr0k9IjYJv3",276270,"2020-03-06"
"Bad Bunny","Pero Ya No","75pQqzwgCjUOSSy5CpmAjy",271786,"2020-03-06"
"Bad Bunny","A Tu Merced","4r9jkMEnArtWGH2rL2FZl0",238562,"2020-03-06"
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","5stPVcRqb4qixbafP9e8lt",238544,"2020-03-06"
"Bad Bunny, Yaviah","Bichiyal","4j4w4CXm6BSr0s25wAWrrX",229614,"2020-03-06"
"Bad Bunny","Soliá","7sOfmPd18RWp3FoCzpa7Kw",214325,"2020-03-06"
"Myke Towers","Diosa","3JHpk0DOTOzyh0777JFAky",213806,"2020-03-06"
"Myke Towers","Girl","43NqTeL8pgBxKHPMiJKUP5",212164,"2020-03-06"
"Anuel AA","Keii","5eEQCfq7MXQr6aHLNRUZLs",211416,"2020-03-06"
"Bad Bunny, Mora","Una Vez","5J7teKIJGtqVypgYI6sqXj",211269,"2020-03-06"
"Bad Bunny, Ñengo Flow","Que Malo","53v2u51nq3CxiKUNphRzP1",208225,"2020-03-06"
"Bad Bunny","La Zona","5kqNIqFjijuzvVLhuY9B8j",194385,"2020-03-06"
"Bad Bunny","25/8","4NqQaovM14WR2hNPMFxgjb",188184,"2020-03-06"
"Bad Bunny, Anuel AA","Está Cabrón Ser Yo","4saHEjXw7O1NXJOzBkUKKG",178855,"2020-03-06"
"Rauw Alejandro","Tattoo","7na7Bk98usp84FaOJFPv3d",172709,"2020-03-06"
"Bad Bunny","<3","4MZSqgwlE71CWZ6qQ3gkKm",172424,"2020-03-06"
"Tones And I","Dance Monkey","1rgnBhdG2JDFTbYkYRZAku",164200,"2020-03-06"
"Alex Rose, Rafa Pabön","Jangueo","5m3jpKkgkfoMcym1qjToFg",158798,"2020-03-06"
"Bad Bunny, Kendo Kaponi, Arcangel","P FKN R","0fgsKar6uBO08vzHXkTjWi",151593,"2020-03-06"
